id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
470000,Remove (or reduce) dependency on aspectj bundles,RESOLVED FIXED,None,Platform,Releng,4.5,P3 normal,4.6 M5,Thomas Watson,,,,,,,2015-06-11 16:14 EDT by David Williams,2016-01-20 14:25 EST,5 users
470001,A small mistake in the documentation,CLOSED INVALID,None,Kura,Core,unspecified,P3 normal,---,Project Inbox,,,,,,,2015-06-11 16:16 EDT by Pawel Zalejko,2015-11-04 13:56 EST,1 user
470002,"Improve ""Add New Feature ID"" button label",NEW,None,Community,Marketplace,unspecified,P5 enhancement,---,Eric Poirier,,,,,,,2015-06-11 16:17 EDT by Konstantin Komissarchik,2015-06-22 16:11 EDT,1 user
470003,Git Parameter Plug-In link is incorrect / broken.,NEW,None,Hudson,Plugins,3.2.2,P3 normal,---,Winston Prakash,Geoff Waymark,,,,,,2015-06-11 16:26 EDT by Stuart Lorber,2015-06-16 09:17 EDT,5 users
470004,compiler fails to report uninitialized field use,CLOSED DUPLICATE of bug 480989,None,JDT,Core,4.5,P3 normal,---,JDT-Core-Inbox,,,,,,,2015-06-11 16:46 EDT by Igor Fedorenko,2016-09-16 20:35 EDT,0 users
470005,SWTException in ClearTraceOffsetHandler.execute (83),CLOSED DUPLICATE of bug 435742,None,Tracecompass,TMF,1.0.0,P3 normal,---,Project Inbox,Project Inbox,,,,,,2015-06-11 16:49 EDT by EPP Error Reports,2015-06-11 17:28 EDT,1 user
470006,"compiler reports unexpected ""must implement the inherited abstract method""",NEW,None,JDT,Core,4.5,P3 normal,---,JDT-Core-Inbox,,,,,,,2015-06-11 16:56 EDT by Igor Fedorenko,2015-06-12 01:46 EDT,0 users
470007,"NPE in normalize() when querying on ElementCollection->CollectionTable, with query results caching enabled",RESOLVED FIXED,None,EclipseLink,JPA,2.6.0,P3 normal,2.6.1,David Minsky,Project Inbox,,2.6_approved,,,,2015-06-11 17:34 EDT by David Minsky,2015-06-22 09:08 EDT,3 users
470008,Port to event loop library,CLOSED INVALID,None,z_Archived,Mosquitto,unspecified,P3 enhancement,---,Roger Light,,,,,,470009,2015-06-11 17:42 EDT by Roger Light,2016-09-09 08:58 EDT,0 users
470009,Add MQTT-SN support,CLOSED INVALID,None,z_Archived,Mosquitto,unspecified,P3 enhancement,---,Roger Light,,,,,470008,,2015-06-11 17:42 EDT by Roger Light,2016-09-09 08:58 EDT,0 users
470010,"Expose the ""session present"" argument from CONNACK to the on_connect callback",CLOSED INVALID,None,z_Archived,Mosquitto,unspecified,P3 enhancement,---,Roger Light,,,,,,,2015-06-11 17:52 EDT by Roger Light,2016-09-09 09:12 EDT,0 users
470011,NullPointerException in FileDiff.getOldPath (330),NEW,None,EGit,UI,4.0,P3 normal,---,Project Inbox,,,,,,,2015-06-11 18:02 EDT by EPP Error Reports,2015-06-11 18:02 EDT,1 user
470012,NPE in BranchSelectionDialog.checkPage(BranchSelectionDialog.java:205),RESOLVED FIXED,None,EGit,UI,4.0,P3 major,4.0.1,Project Inbox,,,,,,,2015-06-11 18:36 EDT by Matthias Sohn,2015-10-24 02:09 EDT,6 users
470013,Missing Rebase sub-menu in Git Repositories view,RESOLVED FIXED,None,EGit,UI,4.0,P3 normal with 1 vote,4.2,Andrey Loskutov,,,,,,,2015-06-11 18:44 EDT by Patrick Tasse,2015-12-03 05:11 EST,4 users
470014,Name resolution problem with ref-qualified methods,RESOLVED FIXED,None,CDT,cdt-parser,8.7.0,P3 normal,8.8.0,Sergey Prigogin,Markus Schorn,,,,,,2015-06-11 21:03 EDT by Sergey Prigogin,2015-06-17 23:53 EDT,2 users
470015,Types from RTS Model Library are generated,CLOSED FIXED,None,Papyrus-rt,codegen,unspecified,P3 normal,---,Ernesto Posse,,,,,,,2015-06-11 21:55 EDT by Andrew Eidsness,2017-01-31 16:41 EST,0 users
470016,[api] add TaskAttribute.META_DEPENDS_ON_ATTRIBUTE_ID,RESOLVED FIXED,None,Mylyn Tasks,Framework,unspecified,P3 enhancement,3.17,Frank Becker,,,,noteworthy,,414360,2015-06-11 22:44 EDT by Frank Becker,2015-06-25 17:26 EDT,1 user
470017,@JoinFetch + isEmpty criteria query returns incorrect results for JoinFetchType.INNER and throws exception for JoinFetchType.OUTER,NEW,None,EclipseLink,JPA,2.5.2,P3 normal,Future,Project Inbox,,,,,,,2015-06-11 23:48 EDT by Grant Jennings,2015-06-11 23:48 EDT,0 users
470019,startService(serviceStartIntent) called Twice,RESOLVED FIXED,None,z_Archived,MQTT-Android,unspecified,P3 normal,---,James Sutton,Ian Craggs,,,,,,2015-06-12 00:22 EDT by Dustin Thomson,2017-02-27 11:39 EST,2 users
470020,ResourceException in Resource.checkExists (334),RESOLVED WONTFIX,None,M2T,Xpand,2.0.0,P3 normal,---,Project Inbox,,,,,,,2015-06-12 02:33 EDT by EPP Error Reports,2018-10-05 04:47 EDT,2 users
470021,GEF4 DOT and GEF4 Zest documentation are not visible on http://help.eclipse.org/mars,RESOLVED FIXED,None,Community,Servers,unspecified,P3 normal,---,Eclipse Webmaster,,,,,,,2015-06-12 02:52 EDT by Alexander Nyen,2015-06-12 16:19 EDT,2 users
470022,[Synchronized Table] The sort columns is not possible,CLOSED FIXED,None,Papyrus,Table,1.1.0,P3 normal,---,Nicolas FAUVERGUE,,,,,,,2015-06-12 03:15 EDT by Nicolas FAUVERGUE,2015-11-20 04:12 EST,1 user
470023,hgf,CLOSED INVALID,None,EGit,Releng,unspecified,P3 normal,---,Project Inbox,,,,,,,2015-06-12 03:20 EDT by harshit nigam,2015-09-23 19:12 EDT,1 user
470024,"On Windows, when using the Smart Import, the ""Relative Path"" of ""Nested Projects"" dialog contains C:",RESOLVED FIXED,None,e4,UI,unspecified,P3 normal,---,Aurelien Pupier,,,,,,,2015-06-12 03:23 EDT by Aurelien Pupier,2015-06-12 11:45 EDT,1 user
