id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
270000,Api tooling description for OSGi minimumn 1.2 must be updated,VERIFIED FIXED,None,PDE,API Tools,3.5,P3 normal,3.5 M7,Olivier Thomann,,,,,,,2009-03-25 12:56 EDT by Olivier Thomann,2009-06-08 12:21 EDT,1 user
270001,Baseline location modification doesn't always trigger a build,VERIFIED FIXED,None,PDE,API Tools,3.5,P3 normal,3.5 M7,Olivier Thomann,,,,,,,2009-03-25 13:04 EDT by Olivier Thomann,2009-03-27 13:48 EDT,2 users
270002,Inspect expression gets updated when it shouldn't be,RESOLVED INVALID,None,JDT,Debug,3.5,P3 normal,---,JDT-Debug-Inbox,,,,,,,2009-03-25 13:11 EDT by Samantha Chan,2009-03-25 18:46 EDT,1 user
270003,Revert of an artifact is unrecoverable,CLOSED FIXED,None,OSEE,Define,unspecified,P3 normal,0.8.0,Theron Virgin,,,,,,,2009-03-25 13:17 EDT by Theron Virgin,2011-03-29 12:18 EDT,2 users
270004,Default Branch Limits ability to work across branches,CLOSED FIXED,None,OSEE,Define,unspecified,P3 normal,0.8.0,Theron Virgin,,,,,,,2009-03-25 13:21 EDT by Theron Virgin,2011-03-29 12:18 EDT,2 users
270005,please add my blog to the PlanetEclipse aggregator,RESOLVED WONTFIX,None,z_Archived,PlanetEclipse,unspecified,P3 normal,---,Nobody - feel free to take it,,,,,,,2009-03-25 13:22 EDT by Greg Stachnick,2019-08-20 10:48 EDT,1 user
270006,NPE in InternalProfileManager#isBundleActivated when terminating product,RESOLVED DUPLICATE of bug 270074,None,Data Tools,Connectivity,1.6.2,P3 minor,1.7M7,Brian Fitzpatrick,,,,,,,2009-03-25 13:32 EDT by Troy Bishop,2009-04-06 12:59 EDT,0 users
270007,[GlobalActions] Registering actions should not be required to use standard org.eclipse.ui commands,CLOSED DUPLICATE of bug 379257,None,Platform,UI,3.4.2,P3 enhancement with 10 votes,---,Platform UI Triaged,,,,helpwanted,188394 259859 259955 283234,148134 293837 303001 361935,2009-03-25 13:43 EDT by Ralf Ebert,2013-09-19 05:07 EDT,22 users
270008,"[CommonNavigator] Ability to extend bindings beyond ""inheritsBindingsFrom"" tag",VERIFIED FIXED,None,Platform,UI,3.5,P3 enhancement,3.6 M6,Francis Upton IV,,,,,218127,,2009-03-25 14:05 EDT by Chuck Bridgham,2010-04-21 15:23 EDT,0 users
270009,Remote Peer synchronization type image missing,RESOLVED FIXED,None,ECF,ecf.ui,unspecified,P3 normal,---,Remy Suen,,,,,,,2009-03-25 14:18 EDT by Nitin Dahyabhai,2009-03-25 14:23 EDT,1 user
