id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
130000,[API] ReconcileContext API: Does getAST3 return AST with bindings?,VERIFIED FIXED,None,JDT,Core,3.2,P3 normal,3.6 M5,Olivier Thomann,,,,,,,2006-03-01 12:54 EST by Martin Aeschlimann,2010-01-25 02:13 EST,5 users
130001,"[api][AST] org.eclipse.jdt.core.dom.AST: should have API hasResolvedBindings, hasStatementRecovery",VERIFIED FIXED,None,JDT,Core,3.2,P3 normal,3.3 M6,Olivier Thomann,,,,,,,2006-03-01 12:59 EST by Martin Aeschlimann,2007-03-20 11:34 EDT,1 user
130002,Web service client handler dialog launch point for J2EE 1.3 not working.,CLOSED DUPLICATE of bug 134913,None,WTP Webservices,jst.ws,1.5,P3 major,1.5 M6,Seng Phung Lu,,,,,,,2006-03-01 13:00 EST by Seng Phung Lu,2006-06-19 11:00 EDT,3 users
130003,[ant] port extended ant support from the original ibm contribution,RESOLVED WONTFIX,None,WTP Java EE Tools,jst.j2ee,unspecified,P3 enhancement,---,Chuck Bridgham,,,,,,,2006-03-01 13:00 EST by Panagiotis Korros,2007-11-01 14:01 EDT,3 users
130004,debug stepping loses frame focus,RESOLVED WORKSFORME,None,JDT,Debug,3.2,P3 minor,---,JDT-Debug-Inbox,,,,,,,2006-03-01 13:11 EST by Joe Fisher,2006-04-17 15:46 EDT,0 users
130005,Update the Update Manager wizard icon to use PNG format,RESOLVED WONTFIX,None,Platform,Update,3.2,P3 normal,---,Platform-Update-Inbox,,,,,,,2006-03-01 13:16 EST by Troy Bishop,2009-06-18 17:11 EDT,0 users
130006,JavaScript preview with does not preview with specified file,CLOSED WONTFIX,None,z_Archived,Webtools.WST.Javascript,unspecified,P4 normal,---,Amy Wu,,,,,,,2006-03-01 13:26 EST by Amy Wu,2010-03-03 11:35 EST,0 users
130007,add matching quotes to matching brackets,RESOLVED FIXED,None,WTP Source Editing,wst.sse,1.5,P3 enhancement,Future,Nick Sandonato,Nitin Dahyabhai,,,"bugday, helpwanted",,,2006-03-01 13:30 EST by Amy Wu,2010-04-05 14:15 EDT,3 users
130008,Class Rename Problem,CLOSED INVALID,None,WTP Java EE Tools,jst.j2ee,unspecified,P3 normal,---,jst-inbox,,,,,,,2006-03-01 13:31 EST by Vincent Cheung,2007-01-24 14:40 EST,0 users
130009,Enable audit rules on diagram (notation model) elements in gmfmap model,RESOLVED FIXED,None,GMF-Tooling,Core,unspecified,P3 normal,---,gmf.generation-inbox,,,,,,,2006-03-01 13:32 EST by Radomil Dvorak,2010-07-19 22:25 EDT,0 users
