id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
540000,jenkins.eclipse.org/es a bit wonky,CLOSED FIXED,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,https://jenkins.eclipse.org/es/,,,,,2018-10-10 10:24 EDT by arjan tijms,2018-10-12 10:04 EDT,2 users
540001,"Unable to control, use or stop templates and format of /* block */ comments",RESOLVED FIXED,None,CDT,cdt-editor,9.5.3,P3 normal,9.9.0,Marco Stornelli,Doug Schaefer,,,,,,2018-10-10 10:42 EDT by Steven Stoner,2019-07-07 04:17 EDT,8 users
540002,"[GTK3] ""New wizard"" has no keyboard focus since 4.9",VERIFIED FIXED,None,Platform,SWT,4.9,P3 major,4.10 M3,Xi Yan,,,,triaged,,,2018-10-10 10:46 EDT by Andrey Loskutov,2018-12-06 05:15 EST,5 users
540003,[repoView] filtering content,RESOLVED FIXED,None,EGit,UI,unspecified,P3 enhancement,5.4,Project Inbox,,,,,,,2018-10-10 11:02 EDT by Alexander Nittka,2019-03-24 02:28 EDT,2 users
540004,Create target platforms for Oxygen and Photon,RESOLVED FIXED,None,GEF,RelEng,5.0.100,P3 normal,5.0.300 (2018-12),Hannes Niederhausen,,,,,,540005,2018-10-10 11:59 EDT by Matthias Wienand,2018-11-30 08:27 EST,0 users
540005,Update CONTRIBUTING.md in GEF wiki at GitHub,NEW,None,GEF,Website / Wiki,5.0.100,P3 normal,---,gef-inbox,,,,,540004,,2018-10-10 12:02 EDT by Matthias Wienand,2018-10-10 12:02 EDT,0 users
540006,Install Groovy plugin for Xtext JIPP,CLOSED FIXED,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2018-10-10 12:20 EDT by Karsten Thoms,2018-10-11 06:00 EDT,2 users
540007,Add icon for YAML files,CLOSED FIXED,None,Statet,R IDE,4.0.0-dev,P3 normal,4.0.0,Stephan Wahlbrink,,,,,,,2018-10-10 13:07 EDT by Stephan Wahlbrink,2019-07-20 04:14 EDT,0 users
540008,IP Validation Bot not working properly,CLOSED DUPLICATE of bug 540694,None,Community,GitHub,unspecified,P3 normal,---,Eclipse Webmaster,,,,,,,2018-10-10 13:16 EDT by Christian Dietrich,2018-12-03 11:59 EST,1 user
540009,Online Documentation is not available,NEW,None,JDT,Doc,4.9,P3 normal,---,JDT-Doc-Inbox,,,,,,,2018-10-10 13:57 EDT by Ashik Luchman,2018-10-10 13:57 EDT,0 users
540010,[R-Apps] Make development of R apps with StatET smoother,CLOSED FIXED,None,Statet,R IDE,4.0.0-dev,P3 enhancement,4.0.0,Stephan Wahlbrink,,,,noteworthy,540035 540053 540324 540325,,2018-10-10 14:29 EDT by Stephan Wahlbrink,2019-07-20 04:14 EDT,0 users
540011,"When running eclipse program gives an error of file directory reader, other pc doesnt have it",NEW,None,Platform,Debug,4.9,P3 normal,---,Platform-Debug-Inbox,,,,,,,2018-10-10 15:13 EDT by Yorick Blom,2018-10-10 15:13 EDT,0 users
540012,Security Vulnerability - CWE-200 - Jersey with Jackson exposes that fact to a potential attacker sending misformed JSON data,UNCONFIRMED,None,Jersey,General,unspecified,P3 major,---,Project Inbox,,,,,,,2018-10-10 15:29 EDT by Adam Roberts,2018-10-10 15:29 EDT,0 users
540013,Too Many Redirects,RESOLVED INVALID,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2018-10-10 15:40 EDT by Karsten Thoms,2018-10-10 15:53 EDT,1 user
540014,"Drop down menus in ""Resources"" tab automatically select next entry with keypress",NEW,None,PTP,RM,9.0,P3 normal,---,Project Inbox,,,,,,,2018-10-10 15:41 EDT by Daniel FitzGerald,2018-10-10 15:49 EDT,0 users
540015,"An internal error occurred during: ""Match Job""",ASSIGNED,None,JDT,Debug,4.6,P3 normal,---,Sarika Sinha,,,,needinfo,,,2018-10-10 15:43 EDT by David Christensen,2019-01-04 05:15 EST,3 users
540016,Generate an ical export of the My schedule on eclipsecon.org,RESOLVED FIXED,None,Community,EclipseCon,unspecified,P3 normal,---,Anne Jacko,,,,,,,2018-10-10 15:59 EDT by Christopher Guindon,2019-02-19 13:53 EST,2 users
540017,Unable to ssh into dev.eclipse.org,RESOLVED FIXED,None,Community,CommitterTools,unspecified,P3 normal,---,Eclipse Webmaster,,,,,,,2018-10-10 16:02 EDT by Roland Grunberg,2018-10-15 13:08 EDT,0 users
540018,Line Wrapping with Binary conditions keep toggling the formatting,CLOSED FIXED,None,PDT,Code Formatter,6.1.0,P3 critical,6.2,Thierry BLIND,,,,,,,2018-10-10 16:45 EDT by David Bernard,2018-10-16 15:34 EDT,1 user
540019,[12] Enable tests to run on JDK 12,CLOSED DUPLICATE of bug 540558,None,JDT,Core,4.9,P3 normal,BETA J12,JDT-Core-Inbox,,,,,,539063,2018-10-10 17:46 EDT by Stephan Herrmann,2018-11-20 08:33 EST,1 user
540020,Can't request adding a 3rd party component with approved CQ to Orbit,RESOLVED FIXED,None,Community,Project Management & Portal,unspecified,P3 normal,---,Christopher Guindon,,,,,,,2018-10-10 18:07 EDT by Matthias Sohn,2018-10-11 01:52 EDT,2 users
540021,Update URL for mbooth's blog,RESOLVED FIXED,None,z_Archived,PlanetEclipse,unspecified,P3 normal,---,Nobody - feel free to take it,Mat Booth,,,,,,2018-10-10 18:43 EDT by Mat Booth,2019-08-20 10:48 EDT,1 user
540022,jenkins pipeline: junit step: null,CLOSED FIXED,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2018-10-10 18:55 EDT by Romain Grécourt,2019-07-16 13:25 EDT,3 users
540023,Eclipse 2018-09 install fails latest is not a valid repository location,NEW,None,Platform,IDE,4.9,P3 major,---,Platform-UI-Inbox,,,,,,,2018-10-10 19:46 EDT by Jeff Lanam,2018-10-10 19:46 EDT,0 users
540024,"Bad Line Wrapping inside ""if"" conditions",NEW,None,PDT,Code Formatter,6.1.0,P3 major,---,PHP Core,,,,,,,2018-10-10 20:14 EDT by David Bernard,2018-10-16 11:49 EDT,1 user
540025,pipeline checkout step fails randomly,CLOSED WORKSFORME,None,Community,CI-Jenkins,unspecified,P1 blocker,---,CI Admin Inbox,,,,,,,2018-10-10 20:19 EDT by Romain Grécourt,2019-07-16 06:51 EDT,7 users
540026,Declare 4.10 M1,CLOSED FIXED,None,Platform,Releng,4.10,P3 normal,4.10 M1,Platform-Releng-Inbox,,,,,,,2018-10-10 21:14 EDT by Kalyan Prasad Tatavarthi,2018-10-12 10:07 EDT,17 users
540027,"Job name ""Git Repositories"" rather unclear",CLOSED WONTFIX,None,EGit,UI,5.2,P3 trivial,---,Project Inbox,,,,,,,2018-10-11 02:57 EDT by Michael Keppler,2018-10-13 11:37 EDT,0 users
540028,ANR calculating commit diff with many files,RESOLVED FIXED,None,EGit,UI,5.2,P3 normal,5.2,Project Inbox,,,,,,,2018-10-11 03:19 EDT by Michael Keppler,2018-10-17 18:27 EDT,1 user
540029,"Wrong ""import is never used"" error marker on NonNull.java",CLOSED DUPLICATE of bug 534865,None,JDT,Core,4.9,P3 normal,---,JDT-Core-Inbox,,,,,,,2018-10-11 03:28 EDT by Vikas Chandra,2018-10-11 03:33 EDT,1 user
540030,[11] testAvailableStrata failing with Java 11,ASSIGNED,None,JDT,Debug,4.9,P3 normal,---,Igor Fedorenko,,,,,538636,,2018-10-11 03:46 EDT by Sarika Sinha,2019-05-16 01:28 EDT,1 user
540031,Allow a preview for theme selection,NEW,None,Platform,UI,4.8,P3 enhancement,---,Platform-UI-Inbox,,,,,,,2018-10-11 04:18 EDT by Mickael Istria,2018-10-11 04:18 EDT,0 users
540032,Generify activities code,RESOLVED FIXED,None,Platform,UI,4.8,P3 normal,4.10 M3,Alexander Kurtakov,,,,,,,2018-10-11 04:26 EDT by Alexander Kurtakov,2018-10-15 03:02 EDT,1 user
540033,"Spurious ""Cannot coerce first argument to boolean"" error in EL",NEW,None,Java Server Faces,JSF Tools,3.10 (Photon),P3 normal,---,jsf inbox,,,,,,,2018-10-11 04:52 EDT by Mauro Molinari,2018-10-11 09:17 EDT,0 users
540034,JDT creates class files with version 55 (JDK 11) even if project compliance set to 1.8,CLOSED INVALID,None,JDT,Core,4.9,P3 normal,---,JDT-Core-Inbox,,,,,,,2018-10-11 04:56 EDT by Julien HENRY,2018-10-11 08:12 EDT,2 users
540035,[Debug] Move/extract generic UI utilities and actions for launch configs of resource specific tools,CLOSED FIXED,None,Statet,R IDE,4.0.0-dev,P3 normal,4.0.0,Stephan Wahlbrink,,,,,,540010,2018-10-11 04:59 EDT by Stephan Wahlbrink,2019-07-20 04:14 EDT,0 users
540036,Theme all Scrollable components (necessary for beautifiul darktheme at windows),CLOSED DUPLICATE of bug 455526,None,Platform,UI,4.9,P3 major,---,Platform-UI-Inbox,,,,ui,,,2018-10-11 05:03 EDT by Albert Tregnaghi,2018-10-11 05:09 EDT,1 user
540037,Element's order is not preserved after Drag and Drop,NEW,None,Sirius,Diagram,6.1.1,P3 normal,---,Project Inbox,,,,triaged,,,2018-10-11 05:23 EDT by Tamas Miklossy,2019-03-28 09:14 EDT,2 users
540038,Xtext JIPP can't access Maven Central,CLOSED FIXED,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2018-10-11 05:26 EDT by Karsten Thoms,2018-10-17 16:38 EDT,2 users
540039,ClassCast Exception GridData to FillData in the model explorer view,CLOSED DUPLICATE of bug 539333,None,Sirius,Tree,unspecified,P3 major,---,Project Inbox,,,,,,,2018-10-11 05:28 EDT by Olivier Prouvost,2018-10-11 08:36 EDT,2 users
540040,"[RSA Import] RSA import only works for oxygen, not for photon",RESOLVED FIXED,None,Papyrus,Interoperability,1.3.0,P3 normal,---,Ansgar Radermacher,,,,,,539725,2018-10-11 05:33 EDT by Ansgar Radermacher,2019-03-08 06:48 EST,2 users
540041,StackOverflow when reading a model -> Eclipse is blocked,CLOSED FIXED,None,EMF,Core,unspecified,P3 blocker,---,Ed Merks,,,,,,,2018-10-11 06:06 EDT by Olivier Prouvost,2019-02-07 15:02 EST,2 users
540042,Add macros for defining vairables of a FB interface,CLOSED INVALID,None,4DIAC,FORTE,1.9.2,P3 normal,---,Project Inbox,,,,,,,2018-10-11 06:44 EDT by Jose Maria Jesus Cabral Lassalle,2018-10-12 07:32 EDT,2 users
540043,109 Platform UI tests failed in IBuild I20181010-1800 using Java 11 due to exception thrown by mockito,CLOSED DUPLICATE of bug 539947,None,Platform,UI,4.9,P3 normal,4.10 M3,Kalyan Prasad Tatavarthi,,,,,,,2018-10-11 07:07 EDT by Kalyan Prasad Tatavarthi,2018-10-29 11:13 EDT,1 user
540044,Potential issue with concurrent builds,VERIFIED DUPLICATE of bug 539139,None,JDT,Core,4.5,P3 normal,4.10 M1,JDT-Core-Inbox,,,,,,531554,2018-10-11 07:43 EDT by Mickael Istria,2018-11-27 01:09 EST,3 users
540045,JIPP Request for Keyple,CLOSED FIXED,None,Community,CI-Jenkins,unspecified,P3 normal with 1 vote,---,CI Admin Inbox,,,,,,,2018-10-11 08:06 EDT by Olivier Delcroix,2018-10-17 07:51 EDT,4 users
540046,Existing submodules with name different to path are ignored by UpdateCommand,NEW,None,JGit,JGit,5.1,P3 normal,---,Project Inbox,,,,,,,2018-10-11 08:18 EDT by Andrea Bugada,2018-10-11 08:18 EDT,0 users
540047,Failed to install,NEW,None,JDT,Doc,4.9,P3 blocker,---,JDT-Doc-Inbox,,,,needinfo,,,2018-10-11 08:38 EDT by Sandrine Louis,2018-10-20 08:07 EDT,1 user
540048,ArrayIndexOutOfBoundsException when creating a new formatter profile,CLOSED FIXED,None,PDT,Code Formatter,unspecified,P3 normal,6.2,Thierry BLIND,,,,,,,2018-10-11 08:54 EDT by Thierry BLIND,2018-10-11 09:52 EDT,0 users
540049,LFS: file handle leak in ObjectDownloadListener,NEW,None,JGit,JGit,4.7,P3 critical,---,Project Inbox,,,,,,,2018-10-11 09:09 EDT by Markus Duft,2018-10-15 07:01 EDT,1 user
540050,NPE in HasLanguageConfigurationPropertyTester,RESOLVED FIXED,None,Tm4e,General,unspecified,P3 normal,---,Project inbox,,,,,,,2018-10-11 09:10 EDT by Brian de Alwis,2018-11-27 10:47 EST,1 user
540051,New JSON attribute 'as map',CLOSED FIXED,None,Titan,Core,6.4.0,P3 normal,---,Project Inbox,,,,,,,2018-10-11 09:16 EDT by Botond Baranyi,2018-12-12 05:53 EST,0 users
540052,Get list of TSPs from TTCN binary,CLOSED FIXED,None,Titan,Core,6.3.0,P3 normal,---,Project Inbox,,,,,,,2018-10-11 10:31 EDT by Asmelash Tsegay Gebretsadkan,2019-02-20 08:45 EST,1 user
540053,[MPBV] Enhance MPBV / browser view,CLOSED FIXED,None,Statet,General,4.0.0-dev,P3 normal,4.0.0,Stephan Wahlbrink,,,,,,540010,2018-10-11 10:50 EDT by Stephan Wahlbrink,2019-07-20 04:14 EDT,0 users
540054,SSH configuration broken on https://ci.eclipse.org/yasson,CLOSED FIXED,None,Community,CI-Jenkins,unspecified,P3 major,---,CI Admin Inbox,,,,,,,2018-10-11 10:52 EDT by Tomas Kraus,2019-03-05 09:37 EST,3 users
540055,[Designer][releng] Delegate license through the eclipse license feature,NEW,None,Papyrus,Designer,unspecified,P3 enhancement,---,Project Inbox,,,,,,,2018-10-11 11:09 EDT by Ansgar Radermacher,2018-10-11 11:10 EDT,2 users
540056,"Improve ""Link Note"" delete lifecycle",CLOSED FIXED,None,Sirius,Diagram,5.1.2,P3 enhancement,6.1.0,Laurent Redor,Florian Barbin,,,,535648,,2018-10-11 11:49 EDT by Laurent Redor,2018-10-19 12:49 EDT,4 users
540057,"""Connection Type"" drop-down is not read by the screen reader",NEW,None,PTP,RM,9.0,P3 normal,---,Project Inbox,,,,,,,2018-10-11 12:18 EDT by Daniel FitzGerald,2018-10-11 12:18 EDT,0 users
540058,Variables view looks bad on OSX,NEW,None,PDT,Debugger,6.2.0,P3 normal,---,PHP Debug,,,,,,,2018-10-11 13:29 EDT by Dawid Pakula,2018-10-11 13:29 EDT,0 users
540059,Name change is not propagated to Bugzilla,NEW,None,Community,Accounts.eclipse.org,unspecified,P3 normal,---,Eclipse Webmaster,,,,,,,2018-10-11 13:30 EDT by Denis Roy,2019-07-03 11:29 EDT,4 users
540060,The webkit dbus IPC should use a private bus,REOPENED,None,Platform,SWT,4.9,P3 normal,---,Platform-SWT-Inbox,,,,triaged,,,2018-10-11 13:57 EDT by Mat Booth,2019-10-03 16:20 EDT,2 users
540061,NPE AtlContentOutlinePage$PerspectiveListener.perspectiveActivated,RESOLVED FIXED,None,MMT.ATL,UI,unspecified,P3 normal,4.1,Dennis Wagelaar,,,,,,,2018-10-11 15:25 EDT by Ed Willink,2019-08-20 07:13 EDT,1 user
540062,[Xtext] Can't access Workspace content,CLOSED INVALID,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2018-10-11 15:41 EDT by Karsten Thoms,2018-10-11 18:24 EDT,2 users
540063,VerifyError with nested static templated instance,NEW,None,JDT,Core,4.7.3,P3 normal,---,JDT-Core-Inbox,,,,,,,2018-10-11 16:13 EDT by Steve P,2018-10-11 16:13 EDT,0 users
540064,[CJE] This agent is offline because Jenkins failed to launch the agent process on it,RESOLVED FIXED,None,Community,CI-Jenkins,unspecified,P3 major,---,CI Admin Inbox,,,,,,,2018-10-11 17:16 EDT by Mickael Istria,2018-10-12 05:10 EDT,2 users
540065,oracle-jdk11-latest fails,CLOSED WONTFIX,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2018-10-11 17:22 EDT by Bill Shannon,2018-10-12 02:57 EDT,2 users
540066,openjdk-jdk11-latest fails,CLOSED FIXED,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2018-10-11 17:23 EDT by Bill Shannon,2018-10-17 06:07 EDT,3 users
540067,[9] An empty compilation unit in a package in a named module is rejected,VERIFIED FIXED,None,JDT,Core,4.9,P3 normal,4.10 RC1,Jay Arthanareeswaran,,,,,,,2018-10-12 02:33 EDT by Jay Arthanareeswaran,2018-12-03 23:44 EST,4 users
540068,BlendedBackgroundPainter: Support to configure the underlying TextPainter,CLOSED WONTFIX,None,NatTable,Core,unspecified,P3 normal,---,Project Inbox,,,,,,,2018-10-12 02:39 EDT by Hilger Steenblock,2018-11-02 03:28 EDT,1 user
540069,7 p2 tests failing on windows,RESOLVED FIXED,None,Equinox,p2,4.10,P3 normal,4.11 RC2,Andrey Loskutov,,,,,,,2018-10-12 03:22 EDT by Alexander Kurtakov,2019-03-05 03:56 EST,2 users
540070,Connection timed out from specific IP,RESOLVED FIXED,None,Community,Nexus,unspecified,P3 normal,---,Eclipse Webmaster,,,,,,,2018-10-12 04:14 EDT by Abel Hegedus,2018-10-12 15:34 EDT,1 user
540071,fedora-28-ppc64le slave is offline,CLOSED FIXED,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2018-10-12 04:50 EDT by Sravan Kumar Lakkimsetti,2018-10-12 09:01 EDT,3 users
540072,Deploy and update JDT core compiler and apt compiler to use 4.10M1 to produce 4.10M3,RESOLVED FIXED,None,Platform,Releng,4.9,P3 normal,4.10 M3,Kalyan Prasad Tatavarthi,,,,,,,2018-10-12 04:54 EDT by Kalyan Prasad Tatavarthi,2018-10-26 04:41 EDT,1 user
