id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
390000,Use JAVA to read Thermo RAW files,CLOSED NOT_ECLIPSE,None,JDT,Debug,4.3,P3 normal,---,JDT-Debug-Inbox,,,,,,,2012-09-20 08:12 EDT by fangyu liao,2012-09-20 10:14 EDT,1 user
390001,[UI][PathMap] Relabel the path map rules table column header,RESOLVED WONTFIX,None,TCF,Debug,1.1,P3 normal,---,Project Inbox,Eugene Tarassov,,,,,,2012-09-20 08:31 EDT by Uwe Stieber,2013-01-24 07:52 EST,2 users
390002,Add javassist 3.13.0.GA to Orbit,CLOSED FIXED,None,Orbit,bundles,unspecified,P3 normal,---,Orbit Bundles,,,,,,,2012-09-20 08:38 EDT by Lazar Kirchev,2012-09-30 05:46 EDT,0 users
390003,"Allow transient, modifiable IRuntimeContexts",RESOLVED FIXED,None,z_Archived,gyrex,unspecified,P3 enhancement,---,Gunnar Wagenknecht,,,,,,,2012-09-20 08:47 EDT by Konrad Schergaut,2018-03-19 11:59 EDT,1 user
390004,JPA-RS: Interaction with model classes with or without JAXB annotations,CLOSED FIXED,None,EclipseLink,JPA,2.4,P2 normal,2.4.2,Project Inbox,,,jpa-rs,,,,2012-09-20 08:53 EDT by Gul Onural,2012-10-15 11:05 EDT,2 users
390005,"Shortcut for ""Show Properties"" overrides the sign ""|"" in Slovenian keyboard scheme [CTRL+ALT+W -> CTRL+ALT+T]",RESOLVED FIXED,None,Subversive,Core,1.0.0,P3 minor,---,Alexander Gurov,,,,,,,2012-09-20 08:53 EDT by Lovro Magon,2012-10-01 16:46 EDT,0 users
390006,ProR toolbar shows up twice times in Eclipse JUNO and KEPLER,RESOLVED WONTFIX,None,MDT.RMF,ProR,unspecified,P3 minor,0.11.0,Michael Jastram,Michael Jastram,,,,,,2012-09-20 09:03 EDT by Mark Broerkens,2014-07-20 15:15 EDT,1 user
390007,"Table.select reveals the selection on Linux, but not on other platforms",RESOLVED WORKSFORME,None,Platform,SWT,4.2,P3 normal,---,Platform-SWT-Inbox,,,,triaged,,,2012-09-20 09:28 EDT by Nam Quang Tran,2018-04-13 15:34 EDT,2 users
390008,Search: should default to Orion file system if there is no location in the search query.,RESOLVED FIXED,None,Orion,Client,0.5,P3 normal,1.0 M2,libing wang,,,,,,,2012-09-20 09:29 EDT by libing wang,2012-09-20 11:01 EDT,0 users
390009,ResourceID#hashCode,CLOSED FIXED,None,M2T,Xpand,1.1.0,P3 normal,M4,Karsten Thoms,,,,,,,2012-09-20 09:29 EDT by Karsten Thoms,2017-10-31 10:58 EDT,1 user
390010,Problem with DomHandler and collection property,CLOSED INVALID,None,EclipseLink,MOXy,2.4,P3 normal,2.4.1,Project Inbox,,,,,,,2012-09-20 09:30 EDT by Blaise Doughan,2012-09-20 09:59 EDT,0 users
390011,[DI] OSGi services are not removed,CLOSED INVALID,None,Platform,Runtime,4.2,P3 normal,---,platform-runtime-inbox,,,,,,,2012-09-20 09:31 EDT by Wim Jongman,2012-09-20 09:58 EDT,1 user
390012,Consider supporting alternate JAX-RS providers,CLOSED MOVED,None,Lyo,Core,unspecified,P3 enhancement,---,Project inbox,,,,,,,2012-09-20 09:44 EDT by Steve Speicher,2017-03-21 21:14 EDT,2 users
390013,[compiler] [null] Inconsistent handling in null-analysis ( && and || ),ASSIGNED,None,JDT,Core,4.2,P3 normal,---,Stephan Herrmann,,,,,,,2012-09-20 09:44 EDT by Axel Gro,2012-09-20 12:42 EDT,1 user
390014,java.endorsed.dirs property is not recognized by virgo-build's javac target,CLOSED WONTFIX,None,Virgo,virgo-build,3.5.0.RELEASE,P3 normal,---,Project Inbox,,,,,,,2012-09-20 09:45 EDT by Borislav Kapukaranov,2012-12-11 16:10 EST,3 users
390015,Make build working on CBI,CLOSED FIXED,None,NatTable,Core,0.9.0,P3 normal,0.9.0,Dirk Fauth,,,,,,,2012-09-20 09:45 EDT by Dirk Fauth,2014-07-23 08:25 EDT,0 users
390016,Area with PartStack doesn't resize correct,RESOLVED WORKSFORME,None,Platform,UI,4.2,P3 normal with 1 vote,---,Platform-UI-Inbox,,,,,,,2012-09-20 09:51 EDT by Beat Schaller,2018-09-17 14:48 EDT,2 users
390017,Building Virgo Kernel with Java7u4 and Java7u7 fails,CLOSED FIXED,None,Virgo,runtime,3.5.0.RELEASE,P3 normal,3.7.0.RELEASE,Florian Waibel,,,,,,,2012-09-20 09:58 EDT by Borislav Kapukaranov,2014-01-29 02:47 EST,2 users
390018,Re-enable the kernel JS tests,CLOSED INVALID,None,Virgo,runtime,3.5.0.RELEASE,P3 major,---,Project Inbox,,,,,,,2012-09-20 10:01 EDT by Borislav Kapukaranov,2012-09-21 11:19 EDT,1 user
390019,Termination event isn't sent when output goes through terminal,RESOLVED WORKSFORME,None,TCF,Target,unspecified,P3 normal,---,Project Inbox,Uwe Stieber,,,,,,2012-09-20 10:03 EDT by Anna Dushistova,2012-09-25 10:21 EDT,1 user
390020,Create the swt-<buildId>-gtk-linux-x86.zip files,RESOLVED FIXED,None,CBI,prototype,1.0,P3 normal,---,CBI Dummy user,,,,,,372792,2012-09-20 10:24 EDT by Paul Webster,2012-11-22 17:00 EST,4 users
390021,newly added testProxyIsInJTATransaction() in jpa/proxyauthentication failed on GlassFish only,NEW,None,EclipseLink,JPA,2.5.0,P2 normal,Future,Project Inbox,,,glassfish,,,,2012-09-20 10:29 EDT by Yiping Zhao,2014-12-11 04:32 EST,3 users
390022,Copy paste broken in Juno (Regression),RESOLVED FIXED,None,GMF-Runtime,General,unspecified,P3 critical,1.6.2,Project Inbox,,,,,346805,,2012-09-20 10:35 EDT by Andreas Muelder,2013-01-23 14:53 EST,10 users
390023,Two jpa/ddlgeneration tests failed on DB2 only in trunk and 2.4.1,RESOLVED FIXED,None,EclipseLink,JPA,2.5.0,P3 normal,Future,Project Inbox,,,,,,,2012-09-20 10:38 EDT by Yiping Zhao,2012-09-20 11:59 EDT,1 user
390024,Eclipse Juno: java.lang.NullPointerException,NEW,None,CDT,cdt-build,8.1.0,P3 major,---,cdt-build-inbox@eclipse.org,Doug Schaefer,,,,,,2012-09-20 10:54 EDT by Johan Vermeire,2012-09-20 18:39 EDT,2 users
390025,Glassfish needed as server platform choice,CLOSED FIXED,None,EclipseLink,Foundation,unspecified,P3 normal,2.5.0,Project Inbox,,,,,,,2012-09-20 10:56 EDT by Leslie Davis,2012-10-02 09:17 EDT,1 user
390026,DDL generation for Basic/Embedded map set PK incorrectly,NEW,None,EclipseLink,JPA,2.4.1,P2 normal,Future,Project Inbox,,,,,,,2012-09-20 11:05 EDT by Andrei Ilitchev,2012-10-30 09:30 EDT,3 users
390027,can't save changes to a site,RESOLVED WONTFIX,None,Orion,Client,1.0,P3 normal,---,Project Inbox,,,,,,,2012-09-20 11:07 EDT by Rafael Chaves,2015-05-05 14:43 EDT,1 user
390028,should all nav actions apply to root when no selection is made?,RESOLVED DUPLICATE of bug 408372,None,Orion,Client,0.5,P3 normal,3.0 RC1,Mark Macdonald,,,,,,,2012-09-20 11:11 EDT by Susan McCourt,2013-05-29 22:59 EDT,7 users
390029,Site URL mapping decodes URI components,RESOLVED WONTFIX,None,Orion,Server,1.0,P3 normal,---,Project Inbox,,,,,,,2012-09-20 11:23 EDT by Rafael Chaves,2015-05-05 14:40 EDT,0 users
390030,Filters for not-null and not-empty,CLOSED FIXED,None,Sapphire,modeling,unspecified,P3 enhancement,0.6,Konstantin Komissarchik,,,,,,,2012-09-20 11:27 EDT by Konstantin Komissarchik,2012-11-15 19:29 EST,1 user
390031,No keyboard input possible after using drop-down,CLOSED NOT_ECLIPSE,None,Platform,SWT,4.3,P3 normal,---,Platform-SWT-Inbox,,,,,,,2012-09-20 11:47 EDT by Denis Roy,2012-10-04 15:23 EDT,4 users
390032,Comparator for case-insensitive string comparisons,CLOSED FIXED,None,Sapphire,modeling,0.6,P3 enhancement,0.6,Konstantin Komissarchik,,,,,,,2012-09-20 11:49 EDT by Konstantin Komissarchik,2012-11-16 14:54 EST,1 user
390033,Migrate /downloads to Git,RESOLVED FIXED,None,Community,Website,unspecified,P3 normal,---,phoenix.ui,,,,,,359737,2012-09-20 11:52 EDT by Denis Roy,2012-10-09 15:34 EDT,1 user
390034,Widget.gtk_widget_set_visible() for GTK>=3.0,RESOLVED FIXED,None,Platform,SWT,4.2,P3 normal,4.3 M4,Silenio Quarti,,,,,,340067,2012-09-20 11:53 EDT by Silenio Quarti,2012-11-16 10:44 EST,2 users
390035,PossibleValuesService is inconsistent on case sensitivity,CLOSED FIXED,None,Sapphire,modeling,0.6,P3 normal,0.6,Konstantin Komissarchik,,,,,,,2012-09-20 12:06 EDT by Konstantin Komissarchik,2012-11-16 18:04 EST,1 user
