id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
360000,Symbolic link deleted by accidentally deleting by trying to create a file with the same name,NEW,None,Platform,Resources,3.5.2,P3 major,---,Platform-Resources-Inbox,,,,helpwanted,,,2011-10-05 10:59 EDT by Chris McGee,2013-05-24 06:49 EDT,3 users
360001,CONST function parameter modifier results in undefined method java error,CLOSED FIXED,None,z_Archived,EDT,unspecified,P1 normal,---,Project Inbox,,,,,,,2011-10-05 11:10 EDT by Kathy Carroll,2017-02-23 14:16 EST,2 users
360002,NPE error when you add a JPA annotation to a class constructor,VERIFIED FIXED,None,Dali JPA Tools,JPA,3.1,P3 normal,3.1 M3,Karen Butzke,,,,,,,2011-10-05 11:16 EDT by Jolene Moffitt,2011-10-19 08:42 EDT,1 user
360003,UI freeze indefinitely while saving debugged file,NEW,None,DLTK,Common-Debug,3.0,P3 major,---,dltk.common-inbox,,,,,,,2011-10-05 11:17 EDT by Kevin KIN-FOO,2011-10-05 13:26 EDT,1 user
360004,Date field displays funny in Variables view,CLOSED FIXED,None,z_Archived,EDT,unspecified,P3 normal,---,Justin Spadea,,,,,,,2011-10-05 11:28 EDT by broy2,2017-02-23 14:17 EST,1 user
360005,[Theming] Make size of Scrollbar-UpButton and Scrollbar-DownButton themable,ASSIGNED,None,RAP,RWT,unspecified,P4 enhancement,---,Project Inbox,,,,,,,2011-10-05 11:39 EDT by Nick Mussin,2011-11-28 09:25 EST,0 users
360006,request to create tycho integration test jobs,RESOLVED FIXED,None,Community,CI-Jenkins,unspecified,P3 normal,---,Eclipse Webmaster,,,,,,,2011-10-05 11:47 EDT by Jan Sievers,2011-10-05 14:14 EDT,1 user
360007,Wrong ecore model inference,CLOSED WONTFIX,None,TMF,Xtext,2.0.1,P3 normal,---,Project Inbox,,,,,,,2011-10-05 11:57 EDT by Mark Christiaens,2017-09-19 17:49 EDT,3 users
360008,Library CONST constUPD decimal = 543.21; incorrectly producing validation errors,CLOSED FIXED,None,z_Archived,EDT,unspecified,P3 normal,---,Project Inbox,,,,,,,2011-10-05 11:59 EDT by Kathy Carroll,2017-02-23 14:18 EST,1 user
360009,DecoratorAdaptableTests.testAdaptables failed in the N20111004-2000's test run on Linux/gtk+ x86,NEW,None,Platform,UI,3.8,P3 normal,---,Platform-UI-Inbox,,,,,,,2011-10-05 12:01 EDT by Remy Suen,2017-08-24 04:10 EDT,2 users
360010,Decimal point separator,RESOLVED WORKSFORME,None,Platform,Text,4.2,P3 minor,---,Platform-Text-Inbox,,,,needinfo,,,2011-10-05 12:11 EDT by angelo,2011-10-20 08:05 EDT,2 users
360011,Set qualifiedNames=true in cdo-server.xml,CLOSED FIXED,None,EMF,cdo.db,4.1,P3 enhancement,---,Project Inbox,Eike Stepper,,"Lighter, Faster and Better",,,,2011-10-05 12:35 EDT by Martin Fluegge,2012-09-21 07:18 EDT,0 users
360012,"Annotation processing in ""Serve modules without publishing"" broken for Tomcat 7.0.21 and later",RESOLVED FIXED,None,WTP ServerTools,jst.server,3.2,P3 major,3.2.5,Larry Isaacs,Elson Yuen,,,,,,2011-10-05 12:36 EDT by Larry Isaacs,2017-10-11 16:37 EDT,0 users
360013,Support for @XmlType and @XmlRootElement on enums,RESOLVED FIXED,None,EclipseLink,MOXy,2.3.0,P3 normal,2.3.3,Matt MacIvor,,,,,,,2011-10-05 12:48 EDT by Paul Fullbright,2015-03-06 08:30 EST,3 users
