id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
220000,Query builder does not support record constraint capabillities,CLOSED FIXED,None,z_Archived,Cosmos,unspecified,P3 critical,---,Sheldon Lee-Loy,,,,,,,2008-02-22 12:38 EST by Sheldon Lee-Loy,2012-01-03 13:48 EST,2 users
220001,dragging a file to a task editor locks up the windows explorer,RESOLVED FIXED,None,Mylyn,Tasks,unspecified,P2 trivial,3.0,Steffen Pingel,,,,,,,2008-02-22 12:47 EST by Shawn Minto,2008-06-02 19:04 EDT,1 user
220002,[hovering] Add 'Show in Properties File' action to NLS key hover,VERIFIED FIXED,None,JDT,Text,3.4,P2 enhancement,3.5 M7,Raksha Vasisht,,,,,,,2008-02-22 12:49 EST by Benno Baumgartner,2009-04-28 08:55 EDT,2 users
220003,CProject Source location preference tab does not allow to add project root as source folder,RESOLVED FIXED,None,CDT,cdt-core,4.0.2,P3 normal,5.0,Oleg Krasilnikov,,,,,,,2008-02-22 12:50 EST by Elena Laskavaia,2009-01-12 09:12 EST,0 users
220004,BOF table page,CLOSED FIXED,None,Community,EclipseCon,unspecified,P3 enhancement,---,Bjorn Freeman-Benson,,,,,,,2008-02-22 12:53 EST by Bjorn Freeman-Benson,2008-04-28 18:20 EDT,1 user
220005,Incorrect prefix handling on XSD to XML Generator,CLOSED FIXED,None,WTP Source Editing,wst.xml,1.5.5,P3 normal,1.5.5 M155,Gabriel Indik,Nitin Dahyabhai,,,contributed,,,2008-02-22 13:00 EST by Gabriel Indik,2008-12-17 13:48 EST,2 users
220006,Keep a newly opened (incoming) bug in the task list or make it easier to return to,RESOLVED FIXED,None,Mylyn,Tasks,unspecified,P3 enhancement,3.1,Mik Kersten,,,,noteworthy,,,2008-02-22 13:01 EST by Gail Murphy,2009-02-26 18:30 EST,2 users
220007,Incorrect syntax highlighting in scrapbook,VERIFIED FIXED,None,JDT,Debug,3.3,P3 normal,4.5 M4,Sarika Sinha,,,,,,,2008-02-22 13:06 EST by John Arthorne,2014-12-04 01:54 EST,3 users
220008,NullFileStore.toURI throws error,VERIFIED FIXED,None,Platform,Resources,3.3,P3 normal,3.4 M6,John Arthorne,,,,,,,2008-02-22 13:09 EST by John Arthorne,2008-03-30 08:49 EDT,1 user
220009,Add InfoBox for Project on Wiki,ASSIGNED,None,z_Archived,STP,unspecified,P3 enhancement,---,Oisin Hurley,Oisin Hurley,,,,,,2008-02-22 13:14 EST by Oisin Hurley,2012-09-21 14:40 EDT,0 users
220010,Need better exception info on query failure,RESOLVED DUPLICATE of bug 209866,None,z_Archived,Cosmos,unspecified,P3 major,---,Hubert Leung,,,,,,,2008-02-22 13:17 EST by David Whiteman,2012-01-03 13:48 EST,1 user
220011,Manged Project Properties: Path and symbols - UI inconsitencies,RESOLVED FIXED,None,CDT,cdt-core,4.0.2,P3 normal,5.0,Oleg Krasilnikov,,,,,,275779,2008-02-22 13:17 EST by Elena Laskavaia,2009-06-11 12:07 EDT,0 users
220012,"EJB 3.0 bean interfaces should be created in client.jar, if it exists",CLOSED FIXED,None,WTP EJB Tools,jst.ejb,3.0,P2 normal,3.0 M6,Kaloyan Raev,Naci Dai,,,,,,2008-02-22 13:20 EST by Carl Anderson,2008-05-12 09:24 EDT,1 user
220013,[hovering] image in Javadoc hover,RESOLVED FIXED,None,JDT,Text,3.4,P3 enhancement,3.4 M6,Martin Aeschlimann,,,,,,,2008-02-22 13:24 EST by Martin Aeschlimann,2008-02-26 04:42 EST,1 user
220014,[sec] Adding ability to select encryption algorithms to secure properties,RESOLVED FIXED,None,Equinox,Incubator,unspecified,P3 normal,3.4 M6,equinox.incubator-inbox,,,,,,,2008-02-22 13:44 EST by Oleg Besedin,2008-03-10 11:34 EDT,0 users
220015,"Bundles Launch Filtered Tree, Nasty Revert Bug",VERIFIED FIXED,None,PDE,UI,3.4,P3 normal,3.4 M6,Ian Bull,,,,contributed,207638,,2008-02-22 13:51 EST by Ian Bull,2008-03-26 16:22 EDT,1 user
220016,Error when registering the ExampleMDR with the testFederatingCMDB,RESOLVED FIXED,None,z_Archived,Cosmos,unspecified,P3 blocker,---,Saurabh Dravid,,,,,,,2008-02-22 14:37 EST by Bill Muldoon,2012-01-03 13:47 EST,4 users
220017,IReference should keep unresolved and resolved target locations,VERIFIED FIXED,None,PDE,API Tools,3.4,P3 normal,3.4 M6,Michael Rennie,,,,,,,2008-02-22 14:39 EST by Darin Wright,2008-02-25 14:35 EST,0 users
220018,Unhandled loop exceptions while removing conflicting bindings from Keys in preference pages in Linux,RESOLVED DUPLICATE of bug 89610,None,Platform,UI,3.3.1,P3 major,---,Platform-UI-Inbox,,,,,,,2008-02-22 14:52 EST by Evan Hourigan,2008-02-22 15:05 EST,1 user
220019,Multiple copies of Icons are spread across plugins. Should be pulled into a single location/Class,RESOLVED FIXED,None,Tigerstripe,UI,unspecified,P3 normal,0.3S1,Project Inbox,,,,,,,2008-02-22 14:55 EST by Eric Dillon,2008-03-08 10:34 EST,0 users
220020,[api][breaking] SystemFileTransferModeMapping should be internal,RESOLVED FIXED,None,Target Management,RSE,2.0,P3 enhancement,3.0 M6,Martin Oberhuber,Martin Oberhuber,,,api,,,2008-02-22 14:55 EST by Martin Oberhuber,2008-02-22 15:31 EST,0 users
220021,validating @since tags in non-API classes,RESOLVED WONTFIX,None,PDE,API Tools,3.4,P3 enhancement,---,PDE API Tools Inbox,,,,,,,2008-02-22 14:58 EST by Darin Wright,2014-01-23 10:12 EST,1 user
220022,Birt plugin (org.eclipse.birt.report.engine.emitter.postscript) version is backlevelled,RESOLVED FIXED,None,BIRT,Build,2.2.2,P3 blocker,2.2.2,Xiaoying Gu,,,,,,,2008-02-22 15:09 EST by hollisc,2008-02-24 22:04 EST,3 users
220023,support attaching screenshots of Preferences and other modal dialogs,NEW,None,Mylyn,UI,unspecified,P5 enhancement,---,Project Inbox,,,,,,,2008-02-22 15:12 EST by Eugene Kuleshov,2009-08-19 15:53 EDT,1 user
220024,[Accessibility] Shortcut and accelerator keys for menus not read,CLOSED WORKSFORME,None,Platform,SWT,3.4,P3 normal,---,Silenio Quarti,,,,accessibility,,,2008-02-22 15:22 EST by Duong Nguyen,2017-11-14 11:46 EST,4 users
220025,[GTK3] [Accessibility] Editor tabs are not read,VERIFIED FIXED,None,Platform,SWT,3.4,P3 normal,4.8 M4,Eric Williams,,,,accessibility,,517380,2008-02-22 15:31 EST by Duong Nguyen,2017-12-06 10:42 EST,4 users
220026,[Accessibility] View names are not read,RESOLVED DUPLICATE of bug 220025,None,Platform,SWT,3.4,P3 normal,---,Carolyn MacLeod,,,,accessibility,,,2008-02-22 15:33 EST by Duong Nguyen,2008-02-25 14:33 EST,1 user
220027,Show Annotations using Quickdiff - Show Author doesn't work,RESOLVED FIXED,None,Subversive,UI,0.7,P3 normal,---,Alexander Gurov,,,,,,,2008-02-22 15:43 EST by Steve,2008-04-23 04:20 EDT,0 users
