id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
380000,FileDialog.setFilterPath() does not work on Solaris SPARC,RESOLVED WONTFIX,None,Platform,SWT,4.2,P3 normal,---,Platform-SWT-Inbox,,,,,,,2012-05-18 12:34 EDT by Grant Gayed,2017-06-20 02:33 EDT,0 users
380001,ToolbarItem's text is cut off for the first user,RESOLVED DUPLICATE of bug 378752,None,RAP,Workbench,1.5,P3 normal,---,Project Inbox,,,,,,,2012-05-18 12:46 EDT by George R Malary,2012-07-06 05:22 EDT,1 user
380002,settings styles for field types are leaking into slideouts on the git pages.,RESOLVED WONTFIX,None,Orion,Client,0.5,P3 normal,---,Project Inbox,,,,,,,2012-05-18 13:09 EDT by Susan McCourt,2015-05-05 16:03 EDT,2 users
380003,Some performance improvement may be required,RESOLVED FIXED,None,Mylyn Reviews R4E,UI,unspecified,P3 normal,---,Project Inbox,,,,,,,2012-05-18 13:12 EDT by Jacques Bouthillier,2013-01-28 15:13 EST,3 users
380004,some selection/expansion issues with git-status2,RESOLVED FIXED,None,Orion,Git,0.5,P3 normal,0.5 M2,Szymon Brandys,,,,,,380421,2012-05-18 13:19 EDT by Susan McCourt,2012-05-24 13:14 EDT,3 users
380005,Expand MOXyJsonProvider to include more properties,RESOLVED FIXED,None,EclipseLink,MOXy,2.1.3,P3 normal,2.4.0,Blaise Doughan,,,,,,,2012-05-18 13:22 EDT by Blaise Doughan,2012-05-18 14:06 EDT,1 user
380006,git status2 - consider annotation/warning when same file appears in staged and unstaged,RESOLVED WONTFIX,None,Orion,Git,0.5,P3 normal,---,Project Inbox,,,,,,,2012-05-18 13:25 EDT by Susan McCourt,2015-05-05 16:03 EDT,1 user
380007,GEF's flyout palette displays unused space in gray rather than white,RESOLVED FIXED,None,GEF,GEF-Legacy GEF,unspecified,P3 normal,3.8.1 (Juno SR1),Alexander Nyen,,,,,,,2012-05-18 13:47 EDT by Shenxue Zhou,2012-07-18 03:32 EDT,3 users
380008,Multitenant persistence units with a dedicated emf should force tenant property specification up front.,RESOLVED FIXED,None,EclipseLink,JPA,unspecified,P3 normal,2.4.0,Guy Pelletier,,,,,,,2012-05-18 13:47 EDT by Guy Pelletier,2012-05-22 11:24 EDT,1 user
380009,[prefs] Preferences won't import,NEW,None,Equinox,Compendium,3.4.2,P3 normal,---,equinox.compendium-inbox,,,stalebug,,,,2012-05-18 14:18 EDT by Lee Bowie,2019-10-26 16:13 EDT,2 users
380010,M2M newsgroup and forum inaccessible,RESOLVED WONTFIX,None,Community,Forums and Newsgroups,unspecified,P5 enhancement,---,Forums and Newsgroups inbox,,,,,,,2012-05-18 14:27 EDT by Ed Willink,2014-09-04 15:46 EDT,3 users
380011,[Compatibility] Toolbar/Editor tooltip disappears almost immediately,CLOSED WORKSFORME,None,Platform,UI,4.2,P3 normal,---,Platform-UI-Inbox,,,,,,,2012-05-18 14:48 EDT by Marc Khouzam,2012-06-05 15:14 EDT,0 users
380012,Allow for programmatic exclusion/inclusion rules along with the existing user exclusion/inclusion rules,NEW,None,WTP Common Tools,wst.validation,unspecified,P3 enhancement,Future,wst.validation,Chuck Bridgham,,WI93778,,,,2012-05-18 15:06 EDT by Nitin Dahyabhai,2013-01-02 09:30 EST,0 users
380013,"git status 2 is missing ""repository"" in related pages.",RESOLVED WONTFIX,None,Orion,Git,0.5,P3 normal,0.5 M2,Susan McCourt,,,,,,,2012-05-18 15:08 EDT by Susan McCourt,2012-05-22 15:27 EDT,1 user
380014,Expand Descriptions on property classes,RESOLVED FIXED,None,EclipseLink,MOXy,2.1.3,P3 normal,2.4.0,Blaise Doughan,,,,,,,2012-05-18 15:27 EDT by Blaise Doughan,2012-05-23 13:50 EDT,1 user
380015,Equinox could use some archiving work,RESOLVED FIXED,None,Platform,Releng,4.2,P3 normal,---,John Arthorne,,,,,,,2012-05-18 15:49 EDT by David Williams,2012-05-23 09:06 EDT,2 users
380016,Reference scanner should also include referenced CSS style sheets,CLOSED FIXED,None,Mylyn Docs,EPUB,unspecified,P3 enhancement,1.7.0,Torkild Resheim,,,,,,,2012-05-18 16:08 EDT by Torkild Resheim,2012-07-23 16:14 EDT,0 users
380017,"JPA project build can fail on multi-JPA Project ""Clean...""",RESOLVED FIXED,None,Dali JPA Tools,Framework,3.2,P2 major,3.2 RC2,Neil Hauge,,,PMC,,,,2012-05-18 16:27 EDT by Neil Hauge,2012-05-22 18:44 EDT,2 users
380018,GitStatus2 Page with no changes has small highlight box visible,CLOSED DUPLICATE of bug 379831,None,Orion,Client,0.4,P3 normal,---,Project Inbox,,,,,,,2012-05-18 16:44 EDT by Ken Walker,2012-05-18 23:18 EDT,0 users
380019,Properties - Anomaly description needs a vertical scroll,NEW,None,Mylyn Reviews R4E,UI,unspecified,P5 trivial,---,Project Inbox,,,,,,399532,2012-05-18 16:49 EDT by Alvaro Sanchez-Leon,2013-01-30 13:46 EST,3 users
380020,Console view can't keep up with lots of build output,RESOLVED FIXED,None,CDT,cdt-build,8.1.0,P3 normal,8.1.0,Sergey Prigogin,Andrew Gvozdev,,,,,,2012-05-18 17:02 EDT by Sergey Prigogin,2013-02-27 11:43 EST,2 users
380021,Extra invalid validation error against default primary key join column of entity,VERIFIED FIXED,None,Dali JPA Tools,JPA,unspecified,P3 normal,3.3 M7,Nan Li,,,fix_ready,,,,2012-05-18 17:18 EDT by Nan Li,2013-05-21 14:32 EDT,3 users
380022,Some database related combos do not refresh properly,NEW,None,Dali JPA Tools,JPA,unspecified,P3 normal,Future,Brian Vosburgh,,,,,,,2012-05-18 17:35 EDT by Nan Li,2014-02-06 14:13 EST,1 user
380023,[dstore] remote file permissions lost after upload,RESOLVED FIXED,None,Target Management,RSE,3.2,P3 normal,3.4 RC1,David McKnight,Martin Oberhuber,,,,,380024,2012-05-18 17:41 EDT by David McKnight,2012-05-22 13:09 EDT,0 users
380024,Backport to 3.2.x [dstore] remote file permissions lost after upload,RESOLVED FIXED,None,Target Management,RSE,3.2,P3 normal,3.2.2+,David McKnight,Martin Oberhuber,,,,380023,,2012-05-18 17:45 EDT by David McKnight,2012-05-22 08:06 EDT,1 user
380025,[efs] shutdown in certain product shell sharing environments can result in NPE,RESOLVED FIXED,None,Target Management,RSE,3.2,P3 normal,3.4 RC1,David McKnight,Martin Oberhuber,,,,,380026,2012-05-18 17:54 EDT by David McKnight,2012-05-22 13:09 EDT,0 users
380026,Backport to 3.2.x [efs] shutdown in certain product shell sharing environments can result in NPE,RESOLVED FIXED,None,Target Management,RSE,3.2,P3 normal,3.2.2+,David McKnight,Martin Oberhuber,,,,380025,,2012-05-18 18:00 EDT by David McKnight,2012-05-22 08:06 EDT,1 user
