id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
280000,NPE in UISchedulerStrategy,RESOLVED FIXED,None,e4,UI,unspecified,P3 normal,0.9 M4,John Arthorne,,,,,,,2009-06-11 15:35 EDT by John Arthorne,2009-06-11 15:43 EDT,0 users
280001,Injection exceptions when shutting down the e4 photo demo,RESOLVED WORKSFORME,None,e4,UI,0.9,P3 normal,---,Project Inbox,,,,,,,2009-06-11 15:41 EDT by Paul Webster,2009-08-14 15:38 EDT,0 users
280002,[ScrolledComposite] ScrollBar dissapears after resize,RESOLVED WONTFIX,None,RAP,RWT,1.2,P3 normal,---,Project Inbox,,,,,,,2009-06-11 15:42 EDT by Elias Volanakis,2009-09-23 11:08 EDT,0 users
280003,NLS UNUSED MESSAGE: RESULTSVIEWPLUGIN_LOAD_LISTENER_ERROR,RESOLVED WONTFIX,None,z_Archived,WTP Datatools,unspecified,P3 normal,---,wst.rdb,Larry Dunnell,,,,,396369,2009-06-11 15:49 EDT by Ram Venkataswamy,2013-02-20 16:06 EST,1 user
280004,Create Test From Existing Recording does not allow overwriting testsuite,CLOSED FIXED,None,z_Archived,TPTP,unspecified,P2 normal,---,Paul Slauenwhite,Kathy Chan,,closed471,,278218,306560,2009-06-11 16:01 EDT by Jeff Nevicosi,2016-05-05 11:08 EDT,1 user
280005,Crash due to call in SWT code for RHEL 4,RESOLVED FIXED,None,Platform,SWT,3.4.2,P3 normal,3.6 M5,Bogdan Gheorghe,,,,,,,2009-06-11 16:06 EDT by hollisc,2010-01-14 18:39 EST,4 users
280006,NUMEROUS NLS UNUSED MESSAGE RELATED TO ORG.ECLIPSE.DATATOOLS.SQLTOOL,RESOLVED WONTFIX,None,z_Archived,WTP Datatools,unspecified,P3 normal,---,wst.rdb,Larry Dunnell,ORACLE_OEPE,,,,396369,2009-06-11 16:16 EDT by Ram Venkataswamy,2013-02-20 16:05 EST,1 user
280007,Performing Self update on a RCP/Product break product,RESOLVED FIXED,None,Equinox,p2,3.5,P3 critical with 4 votes,3.6 M2,Andrew Niefer,,,,,,,2009-06-11 16:28 EDT by Chris Williams,2009-08-20 14:42 EDT,4 users
280008,Resume packing native components.,CLOSED FIXED,None,z_Archived,TPTP,unspecified,P3 normal,---,Joshua Bowles,Kathy Chan,,,,,,2009-06-11 16:44 EDT by Joshua Bowles,2016-05-05 10:38 EDT,4 users
280009,[Doc] Badly formed HTML in ui_xmlcompare_ex.html,RESOLVED FIXED,None,Platform,Compare,3.5,P3 normal,3.6 M1,Tomasz Zarna,,,,,,,2009-06-11 16:56 EDT by Chris Goldthorpe,2009-06-30 10:10 EDT,2 users
280010,Add include feature does not work in C for RC4 when CHelpProvider has info,RESOLVED FIXED,None,CDT,cdt-editor,6.0.1,P3 normal,6.0.2,Anton Leherbauer,Anton Leherbauer,,,,,,2009-06-11 17:32 EDT by Jeff Johnston,2010-02-10 03:36 EST,1 user
280011,diagnose when assigning twice to one label in one branch,CLOSED FIXED,None,TMF,Xtext,unspecified,P3 normal,M2,Project Inbox,,,,,,,2009-06-11 18:04 EDT by Shane Beasley,2017-09-19 16:05 EDT,2 users
280012,NullPointerException when using save and restore,NEW,None,ERCP,eCore,1.2,P3 normal,---,ercp.ecore,,,,,,,2009-06-11 18:25 EDT by Matthias Schoettle,2009-06-11 18:25 EDT,0 users
280013,AbstractConsole cannot handle terminal boldface and normal sequences,RESOLVED DUPLICATE of bug 76936,None,Platform,UI,3.5,P3 normal,---,Platform-UI-Inbox,,,,,,,2009-06-11 18:46 EDT by Jeff Johnston,2009-06-15 11:10 EDT,1 user
280014,[Welcome page content] update the string for PHP welcome page,RESOLVED FIXED,None,EPP,php-package,unspecified,P3 normal,1.1.0 RC4,Project Inbox,,,,,,,2009-06-11 18:56 EDT by Roy Ganor,2010-05-20 04:14 EDT,0 users
280015,IllegalArgumentException dumped to console while running tests,RESOLVED FIXED,None,Mylyn,Core,unspecified,P2 minor,3.3.2,Steffen Pingel,,,,,,,2009-06-11 19:04 EDT by Praveen K Subramanian,2010-01-19 22:55 EST,4 users
280016,error when pressing escape in report bug wizard,RESOLVED FIXED,None,Mylyn,UI,unspecified,P3 minor,3.2,Mylyn Inbox,,,,,,,2009-06-11 19:12 EDT by Steffen Pingel,2009-06-12 17:08 EDT,0 users
280017,ganymede clean silently fails,NEW,None,CDT,cdt-build-managed,6.0,P3 enhancement,---,Project Inbox,Chris Recoskie,,,,,,2009-06-11 19:28 EDT by Miwako Tokugawa,2009-06-11 19:28 EDT,1 user
280018,improve error when discovery extension specifies wrong feature id,RESOLVED FIXED,None,Mylyn,Core,unspecified,P3 normal,3.2,David Green,,,,,,,2009-06-11 19:41 EDT by Steffen Pingel,2009-06-11 19:55 EDT,0 users
280019,repository named ${p2.metadata.repo.name} added after installing connector,RESOLVED FIXED,None,Mylyn,Core,unspecified,P3 normal,---,Robert Munteanu,,,,,,,2009-06-11 19:45 EDT by Steffen Pingel,2009-06-15 18:24 EDT,2 users
280020,Reordering elements in the outline view changes the relative order,NEW,None,GEF,GEF-Legacy GEF,3.5,P3 normal,---,gef-inbox,,,,,,,2009-06-11 19:58 EDT by Peter Severin,2016-12-14 11:20 EST,1 user
280021,JSDT acts oddly when function literals are not followed by a semicolon,RESOLVED DUPLICATE of bug 263222,None,JSDT,General,unspecified,P3 normal,---,wst.javascript,Nitin Dahyabhai,,,,,,2009-06-11 20:07 EDT by Laurens Holst,2010-03-03 11:12 EST,1 user
280022,Line comments are not highlighted correctly when on first line,RESOLVED DUPLICATE of bug 263222,None,JSDT,General,unspecified,P3 normal,---,wst.javascript,Nitin Dahyabhai,,,,,,2009-06-11 20:11 EDT by Laurens Holst,2010-03-03 11:13 EST,1 user
280023,Need to get redirected location on HTTP 401,RESOLVED FIXED,None,ECF,ecf.filetransfer,unspecified,P3 normal,---,ecf.core-inbox,,,,,284960,,2009-06-11 20:13 EDT by Henrik Lindberg,2010-06-06 21:13 EDT,2 users
280024,referenced sites are not included in Galileo Discover site,RESOLVED FIXED,None,z_Archived,Buckminster,unspecified,P3 major,---,P2 Inbox,,,,,,,2009-06-11 20:36 EDT by David Williams,2019-02-25 14:40 EST,3 users
280025,NoSuchProfileException when using connection profile name containing colon,RESOLVED FIXED,None,Data Tools,Connectivity,1.6.1,P3 normal,1.7.1,Brian Fitzpatrick,,,,,,,2009-06-11 21:36 EDT by Sachiko Suzuki,2009-08-12 17:38 EDT,1 user
280026,Create the link in the root of the SDK / platform with a p2 action,RESOLVED FIXED,None,Platform,Releng,3.5,P3 normal,3.5.1,Kim Moir,,,,,,,2009-06-11 21:52 EDT by Pascal Rapicault,2009-06-30 10:24 EDT,2 users
280027,[target] Use local repository as a source,RESOLVED WORKSFORME,None,PDE,UI,3.5,P3 normal,3.7 M4,Curtis Windatt,,,,,287619,,2009-06-11 22:01 EDT by Pascal Rapicault,2010-11-23 09:38 EST,2 users
280028,Property Binding of Web Services data set,CLOSED FIXED,None,Data Tools,Enablement:ODA,Ganymede,P3 normal,1.7.1,xiaofeng zhang,Tianli Zhang,,Obsolete,,,,2009-06-11 22:18 EDT by Tianli Zhang,2009-07-05 22:02 EDT,1 user
280029,There is no build label in EPF 1.5.0.3_20090319 build,RESOLVED WONTFIX,None,EPF,Tool,unspecified,P3 normal,1.5.0.4,Bingxue Xu,,,,,,,2009-06-11 22:51 EDT by Xue Dong Mei,2009-06-24 11:18 EDT,2 users
280030,The default datetime format is not correct after grouping is set.,VERIFIED FIXED,None,BIRT,Chart,2.5.0,P3 normal,2.5.1,Yi Wang,Maggie Shen,,"Autoed,G",,,,2009-06-11 23:13 EDT by Yulin Wang,2010-03-25 05:24 EDT,1 user
280031,remove border for read-only summaries,RESOLVED FIXED,None,Mylyn,Jira,unspecified,P3 minor,3.2.2,Steffen Pingel,,,,,,,2009-06-12 01:22 EDT by Steffen Pingel,2009-08-11 19:34 EDT,1 user
280032,Black shadow for the hyperlink menu when height and width are set.,VERIFIED FIXED,None,BIRT,Chart,2.5.0,P3 normal,2.5.1,Heng Li,mindan xu,,Non-Auto,,,,2009-06-12 02:11 EDT by Maggie Shen,2009-06-23 03:52 EDT,1 user
280033,"[Contributions] Improve Customize Perspective dialog on the ""Command Groups Availability"" tab",RESOLVED FIXED,None,Platform,UI,3.5,P3 normal with 1 vote,4.5 M5,Platform UI Triaged,,http://www.eclipse.org/newsportal/art...,,,,420956,2009-06-12 02:19 EDT by Prakash Rangaraj,2015-02-08 05:33 EST,6 users
280034,Issue when set multiple default value in Paramter with duplicate values[0705],NEW,None,BIRT,Report Viewer,2.5.0,P3 normal,Future,Zhiqiang Qian,Liwen Chen,,,,,,2009-06-12 02:22 EDT by Liwen Chen,2010-10-20 05:33 EDT,3 users
280035,Report document is not deleted when shutdown tomcat,NEW,None,BIRT,Report Viewer,2.5.0,P3 normal,Future,Birt-ReportViewer,,,,,,,2009-06-12 02:23 EDT by Tianli Zhang,2010-05-20 00:24 EDT,1 user
280036,Modifying some hyperlink menu item properties seems not working.,VERIFIED FIXED,None,BIRT,Chart,2.5.0,P3 normal,2.5.1,Heng Li,mindan xu,,Non-Auto,,,,2009-06-12 02:25 EDT by Maggie Shen,2009-07-07 04:02 EDT,1 user
280037,New Project Delete confirmation is not clear,RESOLVED INVALID,None,Platform,Text,3.5,P3 normal,---,Platform-Text-Inbox,,,,,,,2009-06-12 02:32 EDT by Krzysztof Daniel,2009-07-14 14:17 EDT,7 users
280038,[Regression] The width of the label does not work correctly in PDF [1200],RESOLVED WONTFIX,None,BIRT,Report Engine,2.5.0,P3 normal,---,Birt-ReportEngine-inbox@eclipse.org,,,,,,,2009-06-12 02:44 EDT by Xiaodan Wang,2009-06-16 03:09 EDT,1 user
280039,"Missing ""Variables"" node in outline view",CLOSED DUPLICATE of bug 278603,None,BIRT,Report Designer,unspecified,P3 normal,2.5.1,Yuejie Chen,,,,,,,2009-06-12 02:59 EDT by Sissi Zhu,2009-06-23 03:30 EDT,1 user
280040,[TENEO] BasicDecorationNodeImpl (GMF) cannot be restored from persisted model,RESOLVED FIXED,None,EMF,Teneo,1.1,P3 normal,---,Martin Taal,,,,,,,2009-06-12 03:14 EDT by Markus Franz,2009-06-30 05:47 EDT,0 users
280041,The height of the crosstab cell does not work in HTML when show the measure view as chart [0007] [1302],CLOSED DUPLICATE of bug 271984,None,BIRT,Report Engine,2.5.0,P3 normal,2.5.1,Birt-ReportEngine-inbox@eclipse.org,Xiaodan Wang,,,,,,2009-06-12 03:26 EDT by Xiaodan Wang,2009-07-02 01:06 EDT,1 user
280042,[CSS] CSSClassProvider idea,RESOLVED WORKSFORME,None,e4,UI,0.9,P3 normal,---,Project Inbox,Bogdan Gheorghe,,stalebug,,,,2009-06-12 03:27 EDT by Angelo ZERR,2019-06-05 07:35 EDT,0 users
280043,Support open *.rptdesign/*.rptlibrary from Resource Explorer view,RESOLVED FIXED,None,BIRT,Report Designer,unspecified,P3 enhancement,3.7.0 M7,Chen Chao,mindan xu,,Non-Auto,,,,2009-06-12 03:44 EDT by Sissi Zhu,2011-03-24 21:05 EDT,3 users
280044,support saving screenshots to disk,NEW,None,Mylyn,UI,3.2,P5 enhancement,---,Project Inbox,,,,,,,2009-06-12 03:55 EDT by Anton Danilchenko,2009-08-19 15:53 EDT,0 users
280045,number series issue while copy/paste variable[00],CLOSED FIXED,None,BIRT,Report Designer,2.5.0,P3 normal,2.5.1 RC2,Yuejie Chen,Liwen Chen,,Non-Auto,,,,2009-06-12 04:01 EDT by Liwen Chen,2009-08-25 03:56 EDT,1 user
280046,Transformations should work also with additional aspects,NEW,None,JWT,WE,1.1.0,P3 normal,---,Project Inbox,,,,,,,2009-06-12 04:02 EDT by Florian Lautenbacher,2010-07-01 04:25 EDT,0 users
280047,[compiler] add ability to flag Require-Bundle's with a visibility:=reexport as warning or error,NEW,None,PDE,UI,3.5,P3 enhancement,---,PDE-UI-Inbox,,,stalebug,,,,2009-06-12 04:18 EDT by Benjamin Cab¨¦,2019-09-09 02:41 EDT,1 user
280048,Remove library should warn about embedded image reference in report[01],CLOSED WONTFIX,None,BIRT,Report,2.5.0,P3 normal,2.5.1,Birt-Report-inbox@eclipse.org,,,,,,,2009-06-12 04:25 EDT by Liwen Chen,2009-08-18 22:36 EDT,1 user
280049,[UI] Don't use deprecated SWT API,RESOLVED FIXED,None,e4,UI,0.9,P3 trivial,---,Project Inbox,,,,,,,2009-06-12 04:26 EDT by Benjamin Muskalla,2009-06-15 13:50 EDT,0 users
280050,[regression]Error report should has error icon in Navigator view,RESOLVED WONTFIX,None,BIRT,Report Designer,2.5.0,P3 normal,---,Birt-ReportDesigner,,,,,,,2009-06-12 04:42 EDT by Liwen Chen,2009-06-21 23:54 EDT,1 user
280051,Sort on crosstab does not work well[1102],RESOLVED WONTFIX,None,BIRT,Data,unspecified,P3 major,---,Birt-Data-inbox@eclipse.org,,,,,,,2009-06-12 04:46 EDT by Sissi Zhu,2009-06-14 23:10 EDT,1 user
280052,[Viewers] [Cocoa] Opening a Dialog box from a Table's ICellModifier event breaks View tab selections,CLOSED DUPLICATE of bug 313208,None,Platform,SWT,3.5,P3 normal,---,Platform-SWT-Inbox,,,,,,,2009-06-12 04:53 EDT by,2010-07-15 18:29 EDT,4 users
280053,[Build] Build shouldn't allocate progress for closed projects,RESOLVED FIXED,None,Platform,Resources,3.5,P3 normal,3.6 M2,Pawel Pogorzelski,,,,,,,2009-06-12 04:55 EDT by Doug,2009-09-08 09:25 EDT,4 users
280054,[1.5][compiler] JDT behavior differs from E34 and javac in generic method,CLOSED DUPLICATE of bug 277643,None,JDT,Core,3.5,P3 normal,3.5 RC4,Kent Johnson,,,,,,,2009-06-12 05:27 EDT by Stepan Mik,2009-06-19 03:44 EDT,2 users
