id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
170000,Update Configurator reconciles platform.xml with newer features even for sites that have USER-INCLUDE Policy and have explicit inclusion plugin lists,RESOLVED DUPLICATE of bug 190831,None,Platform,Update,3.3,P2 normal,---,Platform-Update-Inbox,,,,,,,2007-01-09 14:17 EST by Dejan Glozic,2007-06-05 11:09 EDT,0 users
170001,The source plugin should include all the files need for development,VERIFIED FIXED,None,EMF,Core,2.3.0,P3 enhancement,---,Marcelo Paternostro,,,,,,106804,2007-01-09 14:17 EST by Marcelo Paternostro,2008-01-28 16:40 EST,2 users
170002,Project facet does not show drop down menu for versions,CLOSED DUPLICATE of bug 115349,None,WTP Common Tools,wst.common,1.5,P3 major,---,wst.common,Konstantin Komissarchik,,,,,,2007-01-09 14:18 EST by Angel Vera,2007-04-03 11:51 EDT,0 users
170003,EAR files do not appear in ear Project name menu of New EJB Project,NEW,None,WTP Java EE Tools,jst.j2ee,1.5,P3 normal,---,Carl Anderson,Chuck Bridgham,,,,,,2007-01-09 14:23 EST by Angel Vera,2007-01-11 16:18 EST,0 users
170004,Junit Launch shortcut fails,CLOSED DUPLICATE of bug 181273,None,z_Archived,TPTP,unspecified,P1 major,---,Eugene Chan,,,,plan,,,2007-01-09 14:51 EST by Eugene Chan,2016-05-05 10:44 EDT,1 user
170005,Please add org.eclipse.ui.ide.application to the repository,RESOLVED FIXED,None,Community,CVS,unspecified,P3 normal,---,Eclipse Webmaster,,,,,,167893,2007-01-09 14:54 EST by Tod Creasey,2007-01-09 15:07 EST,0 users
170006,xml logs should be the default type of compiler log,RESOLVED WONTFIX,None,PDE,Build,3.3,P3 enhancement,---,pde-build-inbox,,,,,,,2007-01-09 15:05 EST by Olivier Thomann,2018-12-03 09:12 EST,1 user
170007,"restore ""go into"" state in package explorer when reactivating context",RESOLVED WONTFIX,None,Mylyn,UI,unspecified,P4 enhancement,---,Mik Kersten,,,,,,,2007-01-09 15:06 EST by Ken Collins,2007-09-21 20:42 EDT,1 user
170008,Should detect  and inform of overlapping source,NEW,None,PDE,UI,3.3,P3 normal,---,PDE-UI-Inbox,,,stalebug,bugday,,,2007-01-09 15:09 EST by Kevin McGuire,2019-05-30 00:13 EDT,3 users
170009,[create on paste] Projects created on paste do not observe compiler level preference,RESOLVED WONTFIX,None,JDT,UI,3.3,P3 normal,3.4,Markus Keller,,,,,,,2007-01-09 15:20 EST by Kevin McGuire,2008-05-15 09:36 EDT,2 users
