id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
290000,[Composite Structure Diagram] Homogeneity of Comment and Constraint representation,RESOLVED FIXED,None,Papyrus,Core,0.7.0,P3 normal,M2,Yann Tanguy,,,UML 2.x Diagrams,plan,,281320,2009-09-21 08:45 EDT by Yann Tanguy,2009-10-15 10:48 EDT,0 users
290001,[Composite Structure Diagram] Difficulty to add a dependency between composite selecting precisely the figure border,RESOLVED FIXED,None,Papyrus,Core,unspecified,P3 normal,0.7.0,Yann Tanguy,,,,,,281320,2009-09-21 08:49 EDT by Yann Tanguy,2009-09-21 09:03 EDT,0 users
290002,Adopt QVT CST to latest OCL 3.0.0 CST,RESOLVED FIXED,None,QVTo,Engine,2.0,P3 normal,3.0 M4,Sergey Boyko,,,Release Currency,,,294548,2009-09-21 08:53 EDT by Sergey Boyko,2010-05-28 15:26 EDT,3 users
290003,"Log_print0, etc. cannot be called from control block w/o {}'s",CLOSED FIXED,None,RTSC,Runtime,unspecified,P3 normal,---,Dave Russo,,,target:3.16,,,,2009-09-21 08:53 EDT by Karl Wechsler,2009-11-05 11:24 EST,1 user
290004,Babel Language Pack for eclipse in French - jars not available,RESOLVED FIXED,None,Babel,Website,unspecified,P3 normal,---,Denis Roy,,,stalebug,,,,2009-09-21 09:04 EDT by Adrian,2014-06-18 16:45 EDT,1 user
290005,please provide Log_printf() function to enable varargs Log statements w/o Diags mask,ASSIGNED,None,RTSC,Runtime,unspecified,P3 normal,---,Sasha Slijepcevic,,,,,,,2009-09-21 09:05 EDT by Karl Wechsler,2011-11-24 12:58 EST,2 users
290006,p2.mirror is missing some repo content,NEW,None,PDE,Build,3.6,P3 normal,---,pde-build-inbox,,,,,,,2009-09-21 09:13 EDT by Paul Webster,2018-12-03 09:13 EST,1 user
290007,Online Documentation mixes features of 0.7.2 with 0.8.0,CLOSED FIXED,None,TMF,Xtext,0.7.2,P3 normal,---,Project Inbox,,,,,,,2009-09-21 09:30 EDT by Sebastian Zarnekow,2017-09-19 16:08 EDT,1 user
290008,[DnD] Enhance drag and drop to automatically surface the view/editor if hidden in a tab,RESOLVED WONTFIX,None,Platform,UI,3.5,P3 enhancement,---,Platform UI Triaged,Eric Moffatt,,,,,,2009-09-21 09:32 EDT by Min Idzelis,2014-07-02 04:32 EDT,2 users
290009,[parsing] Need an IndexedRegion for CSS comments,RESOLVED WONTFIX,None,WTP Source Editing,wst.css,3.2,P3 enhancement,3.3,Ian Tewksbury,Nick Sandonato,,,,,290013,2009-09-21 09:51 EDT by Ian Tewksbury,2010-10-26 18:59 EDT,1 user
290010,Code Asist in require/include statements - no files from dependent projects suggested,CLOSED FIXED,None,PDT,Code Assist,2.1.1,P3 normal,---,PHP Core,,,,,,,2009-09-21 09:51 EDT by Vadim Punski,2009-09-30 08:34 EDT,1 user
290011,Install New software is not working,CLOSED NOT_ECLIPSE,None,Equinox,p2,3.5,P3 major,---,P2 Inbox,,,,,,,2009-09-21 09:52 EDT by ssubburaj,2011-06-10 23:38 EDT,3 users
290012,Have target platforms import program arguments (RTL BIDI settings) in same fashion as VM arguments,NEW,None,PDE,UI,3.5,P3 enhancement,---,PDE-UI-Inbox,,,stalebug,,,,2009-09-21 09:56 EDT by Adir Pekarevich,2019-09-09 02:23 EDT,5 users
290013,[projection] Fold CSS Comments,NEW,None,WTP Source Editing,wst.css,3.2,P3 enhancement with 1 vote,Future,wst.css,Nick Sandonato,,,,289842 290009 291051,,2009-09-21 09:58 EDT by Ian Tewksbury,2013-08-22 14:10 EDT,1 user
290014,"ArrayIndexOutOfBoundsException using transient, CDO persisted list attribute",CLOSED WORKSFORME,None,EMF,cdo.core,2.0,P3 normal,---,Project Inbox,,,,,,,2009-09-21 10:02 EDT by Anders Forsell,2010-06-29 09:21 EDT,1 user
290015,[editor/preview] preview should update the view at least on resource change,RESOLVED FIXED,None,Mylyn Docs,Wikitext,1.1,P3 enhancement,---,David Green,,,,,,,2009-09-21 10:33 EDT by thomas menzel,2011-01-05 11:20 EST,1 user
290016,Add TPTP 4.6.1 JavaDoc to web site.,CLOSED FIXED,None,z_Archived,TPTP,unspecified,P3 normal,---,Kathy Chan,Kathy Chan,,,,,,2009-09-21 10:42 EDT by Paul Slauenwhite,2016-05-05 10:42 EDT,0 users
290017,Javascript breakpoints don't work except with inadvertently achieved file paths,ASSIGNED,None,ATF,Debug,0.3,P3 normal,---,Jacek Pospychala,,,,,,,2009-09-21 10:47 EDT by IMadeThisUpForBugzilla,2009-09-22 06:57 EDT,1 user
290018,[content assist] Problems during content assist -- content assist hangs,VERIFIED WORKSFORME,None,JDT,Core,3.6,P3 normal,3.7 M1,Satyam Kandula,,,,needinfo,,,2009-09-21 10:54 EDT by Whitney Sorenson,2010-08-04 15:20 EDT,1 user
290019,Add content types for EE6 namespace,RESOLVED FIXED,None,WTP Java EE Tools,jst.j2ee,unspecified,P3 enhancement,3.2 M3,jst.j2ee,Chuck Bridgham,,JavaEE6,plan,,400485,2009-09-21 11:01 EDT by Chuck Bridgham,2013-02-11 15:01 EST,0 users
290020,API review: IModelProvider and IVirtualComponent,CLOSED FIXED,None,WTP Java EE Tools,jst.j2ee,unspecified,P3 enhancement,---,Chuck Bridgham,Chuck Bridgham,,,plan,,,2009-09-21 11:08 EDT by Chuck Bridgham,2010-02-25 13:21 EST,1 user
290021,Add support for the shared-cache-mode element from the JPA 2.0 spec.,VERIFIED FIXED,None,Dali JPA Tools,General,2.2,P3 enhancement,2.3 M3,Tran Le,,,,,,279098,2009-09-21 11:09 EDT by Tran Le,2010-04-28 12:46 EDT,3 users
290022,[module assembly] Properties page requires an 'edit reference' button,RESOLVED FIXED,None,WTP Common Tools,wst.common,unspecified,P3 enhancement,3.2 M3,Rob Stryker,Konstantin Komissarchik,,Flexible Modules,,,,2009-09-21 11:19 EDT by Rob Stryker,2009-09-29 15:05 EDT,0 users
290023,Test,CLOSED INVALID,None,Platform,Update,1.0,P3 normal,---,Platform-Update-Inbox,,,,,,,2009-09-21 11:25 EDT by Christophe Cornu,2009-09-21 11:29 EDT,0 users
290024,[Validator] Add utility classes to help when testing validators,CLOSED FIXED,None,TMF,Xtext,0.8.0,P3 normal,M2,Project Inbox,,,,,,,2009-09-21 11:28 EDT by Moritz Eysholdt,2017-09-19 15:49 EDT,0 users
290025,Update jface bundle version and required versions,VERIFIED FIXED,None,Platform,UI,3.6,P3 normal,3.6 M7,Dani Megert,,,,,,,2009-09-21 11:33 EDT by Dani Megert,2010-04-30 09:31 EDT,4 users
290026,[Markup Editor] support for custom templates and autocl,RESOLVED FIXED,None,Mylyn Docs,Wikitext,1.1,P3 enhancement,1.3.0,David Green,David Green,,,noteworthy,,,2009-09-21 11:39 EDT by thomas menzel,2011-11-07 12:05 EST,1 user
290027,"Use IResource#setDerived(boolean, IProgressMonitor) instead of IResource#setDerived(boolean)",VERIFIED FIXED,None,JDT,APT,3.6,P3 normal,3.6 M3,Walter Harley,,,,,45805,,2009-09-21 11:58 EDT by Szymon Brandys,2010-03-04 11:56 EST,3 users
290028,"Use IResource#setDerived(boolean, IProgressMonitor) instead of IResource#setDerived(boolean)",VERIFIED FIXED,None,JDT,Core,3.6,P3 normal,3.6 M3,Olivier Thomann,,,,,45805,,2009-09-21 12:01 EDT by Szymon Brandys,2009-10-27 07:31 EDT,3 users
290029,RCP Mail 2.0,NEW,None,z_Archived,Examples,unspecified,P3 normal,---,Examples Inbox,,,,,,,2009-09-21 12:10 EDT by Chris Aniszczyk,2014-01-10 10:48 EST,5 users
290030,Mention the need for scoping pointcuts to limit unnecessary processing,RESOLVED FIXED,None,AspectJ,Docs,DEVELOPMENT,P2 normal,1.6.6,aspectj inbox,,,,,,,2009-09-21 12:16 EDT by Andrew Clement,2009-09-23 20:26 EDT,0 users
290031,Update COSMOS page to replace newsgroup reference with forums,RESOLVED FIXED,None,z_Archived,Cosmos,unspecified,P3 normal,---,David Whiteman,,,,,,,2009-09-21 12:39 EDT by David Whiteman,2012-01-03 13:54 EST,2 users
290032,Provide sticky views,CLOSED FIXED,None,EMF,cdo.core,4.0,P3 enhancement,---,Caspar D.,Eike Stepper,,Power to the People,noteworthy,,,2009-09-21 12:42 EDT by Adomas,2011-06-23 03:38 EDT,4 users
290033,Default model providers for Java EE 6 facets,RESOLVED FIXED,None,WTP Java EE Tools,jst.j2ee,unspecified,P3 enhancement,3.2 M3,Chuck Bridgham,Chuck Bridgham,,JavaEE6,plan,,400486,2009-09-21 12:43 EDT by Chuck Bridgham,2013-02-11 15:02 EST,0 users
290034,"Effects of @SuppressWarnings(""unchecked"") are broader in Eclipse than in javac",VERIFIED FIXED,None,JDT,Core,3.6,P3 normal,3.6 M3,Olivier Thomann,,,,,,,2009-09-21 12:50 EDT by akrieg,2009-12-06 09:39 EST,6 users
290035,[DND] [SWT/AWT]  JLabel does not accept drop of custom type from swt (snippet319),RESOLVED NOT_ECLIPSE,None,Platform,SWT,3.6,P3 normal,---,Project Inbox,Scott Kovatch,,,,,,2009-09-21 12:54 EDT by Grant Gayed,2010-07-28 13:48 EDT,4 users
290036,JavaScript function on overview pages does not open in Help View,RESOLVED FIXED,None,Platform,User Assistance,3.3,P3 normal,3.5.2,Chris Goldthorpe,,,,,,,2009-09-21 12:55 EDT by Chris Goldthorpe,2009-09-24 05:35 EDT,1 user
290037,Updating trow Eclipse Galileo -> Visual Editor SDK 1.4 [conflicting dependency],NEW,None,z_Archived,VE,unspecified,P3 major,---,VE Bugzilla inbox,,,,,,,2009-09-21 12:58 EDT by Guillermo Reisch,2011-06-13 11:37 EDT,2 users
290038,[editor] support preview mode for private notes and local tasks,NEW,None,Mylyn,UI,unspecified,P3 enhancement with 5 votes,---,Project Inbox,,,,,,,2009-09-21 13:10 EDT by Shawn Minto,2012-08-03 03:07 EDT,5 users
290039,Upgrade/ enhance Java EE constant API's for Java EE 6,RESOLVED FIXED,None,WTP Java EE Tools,jst.j2ee,unspecified,P3 enhancement,3.2 M3,jst.j2ee,Chuck Bridgham,,JavaEE6,plan,252613,400487,2009-09-21 13:29 EDT by Chuck Bridgham,2013-02-11 15:03 EST,2 users
290040,Java EE 6 Project creation for core module types,RESOLVED FIXED,None,WTP Java EE Tools,jst.j2ee,unspecified,P3 enhancement,3.2 M3,jst.j2ee,Chuck Bridgham,,JavaEE6,plan,252613,400488,2009-09-21 13:35 EDT by Chuck Bridgham,2013-02-11 15:04 EST,1 user
290041,Replace Existing JavaEE Dependencies page,RESOLVED FIXED,None,WTP Java EE Tools,jst.j2ee,unspecified,P3 enhancement,3.2 M6,Chuck Bridgham,Chuck Bridgham,,JavaEE6,plan,,,2009-09-21 13:56 EDT by Chuck Bridgham,2010-03-08 10:12 EST,5 users
290042,Support for UML 2.3,RESOLVED WONTFIX,None,MDT.UML2,Core,3.0.0,P3 enhancement with 1 vote,M4,Kenn Hussey,,,Compliance,plan,,290948 327039,2009-09-21 14:03 EDT by Kenn Hussey,2011-10-05 22:31 EDT,4 users
290043,add pack.properties to repo so orbit jars are not reprocessed by p2.process.artifacts task,RESOLVED FIXED,None,Platform,Releng,3.6,P3 normal,3.6 M3,Kim Moir,,,,,,,2009-09-21 14:04 EDT by Kim Moir,2009-09-22 09:24 EDT,0 users
290044,Add editor context menu identifier to RemoteCEditor,RESOLVED FIXED,None,PTP,RDT,2.1.3,P3 normal,2.1.4,Vivian Kong,,,,,,,2009-09-21 14:09 EDT by Vivian Kong,2009-09-21 14:48 EDT,0 users
290045,problem VE 1.04,RESOLVED INVALID,None,z_Archived,VE,unspecified,P3 normal,---,VE Bugzilla inbox,,,,,,,2009-09-21 14:25 EDT by crespo1963,2011-06-13 11:36 EDT,2 users
290046,[LTTng] Integrate LTTng,CLOSED FIXED,None,Linux Tools,LTTng,unspecified,P3 enhancement,0.9.0,Francois Chouinard,Francois Chouinard,,Test,,290047 290159 290250 290580 291077 293102 299715 299988 301623 301624 301629 301630 301631 301632 301633 301634 301637 302486 302489 302496 302500 304518 306218 310889 311935 313966 315828 316347 316350 316354 316467 321364 321366 324876 325661 331467 334560 343323 352921,,2009-09-21 14:27 EDT by Francois Chouinard,2013-05-23 14:44 EDT,2 users
290047,[LTTng] Integrate the parsing library,CLOSED FIXED,None,Linux Tools,LTTng,unspecified,P3 normal,0.5,Francois Chouinard,Francois Chouinard,,,,290060,290046,2009-09-21 14:28 EDT by Francois Chouinard,2010-03-03 13:33 EST,0 users
