id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
350000,[content assist] Include non-prefix matches in auto-complete suggestions,RESOLVED FIXED,None,JDT,Text,3.7,P3 enhancement with 2 votes,4.6 M4,Gabor Kovesdan,,,,,350991 481752,481323 470203 485762,2011-06-22 01:30 EDT by Steve Ash,2016-01-13 09:57 EST,15 users
350001,How to install the visual editor on the eclipse,NEW,None,z_Archived,VE,unspecified,P3 major,---,VE Bugzilla inbox,,,,,,,2011-06-22 01:51 EDT by shalini,2011-10-17 15:50 EDT,1 user
350002,Browser crash when run BrowserFunction with SWT 32bit component on Win7(64bit) system.,CLOSED DUPLICATE of bug 343932,None,Platform,SWT,4.1,P3 major,---,Platform-SWT-Inbox,,,,,,,2011-06-22 02:32 EDT by guoyun,2011-06-22 09:55 EDT,1 user
350003,[1.7] [compiler] AnnotationPolymorphicSignature tag is not being set to invokeExact while compiling MethodHandle source file,VERIFIED FIXED,None,JDT,Core,3.7,P3 normal,3.7.1,Satyam Kandula,,,,,,,2011-06-22 02:35 EDT by Satyam Kandula,2011-08-05 02:54 EDT,3 users
350004,"""TldConfig tldScanJar WARNING: Failed to process JAR"" is thrown when osgi.resolverMode is strict",CLOSED FIXED,None,Gemini.Web,unknown,unspecified,P3 normal,2.0.0.M02,Violeta Georgieva,,,,,,,2011-06-22 02:42 EDT by Violeta Georgieva,2011-07-01 09:43 EDT,1 user
350005,missing bin/src .includes entries should fail the build,RESOLVED FIXED,None,Tycho,Core,0.13.0,P3 enhancement,0.14.0,Jan Sievers,,,,,,,2011-06-22 02:59 EDT by Igor Fedorenko,2012-02-07 03:18 EST,2 users
350006,PageVariable classcast-exception after osgi-bundle-refresh,REOPENED,None,BIRT,Report Engine,unspecified,P3 minor,Future,Birt-ReportEngine-inbox@eclipse.org,Xiaoying Gu,,,,,,2011-06-22 02:59 EDT by jan,2011-07-21 18:18 EDT,3 users
350007,[Xbase] Content assist doesn't work with prefixes ending with period.,NEW,None,TMF,Xtext Backlog,2.0.0,P3 normal,---,Project Inbox,,,,,,409580,2011-06-22 03:16 EDT by Esa Ryhnen,2013-05-31 08:43 EDT,5 users
350008,CDOTransactionImpl#getTransactionHandlers() throws NPE instead of returning an empty array,CLOSED FIXED,None,EMF,cdo.core,4.1,P3 normal,---,Eike Stepper,Eike Stepper,,,,,,2011-06-22 03:43 EDT by Cyril Jaquier,2012-09-21 07:17 EDT,0 users
350009,WikiText and Annotations item in Associations link in Class Diagram,CLOSED INVALID,None,Tigerstripe,UI,unspecified,P3 minor,0.5M0,Project Inbox,,,,,,,2011-06-22 03:49 EDT by Maria Kolchinskaja,2012-03-20 12:45 EDT,1 user
350010,Test duration for Create TC with Component Name is higher than expected,CLOSED FIXED,None,Jubula,UI,0.9.0,P3 critical,Indigo SR1,Project Inbox,Oliver Goetz,,,,,,2011-06-22 03:50 EDT by Oliver Goetz,2011-11-30 07:28 EST,1 user
350011,Materializing a component from a specific subversion revision fails if the component does not exist in the HEAD revision,RESOLVED FIXED,None,z_Archived,Buckminster,unspecified,P3 major,---,buckminster.core-inbox,,,,,,,2011-06-22 03:56 EDT by Matthew Webber,2019-02-25 14:41 EST,3 users
350012,[user] The user should be asked to provide Git name/mail before first init/clone,RESOLVED WONTFIX,None,Orion,Git,0.2,P4 minor,---,Project Inbox,,,,,349868,,2011-06-22 04:01 EDT by Szymon Brandys,2015-05-05 16:21 EDT,2 users
350013,Download page is broken,CLOSED DUPLICATE of bug 349927,None,Equinox,Website,unspecified,P3 major,---,equinox.website-inbox,,,,,,,2011-06-22 04:09 EDT by Mykola Nikishov,2011-06-22 04:38 EDT,1 user
350014,[transport] intermittent timeout during downloading artifacts should be forgivable,RESOLVED FIXED,None,Equinox,p2,3.7,P3 normal,Juno M2,Meng Xin Zhu,,,,,,360493,2011-06-22 04:15 EDT by Meng Xin Zhu,2013-11-10 22:32 EST,8 users
350015,Ensure that EMF pre 2.6 does not prevent CDO usage,CLOSED FIXED,None,EMF,cdo.core,4.1,P3 enhancement,---,Eike Stepper,Eike Stepper,,Appealing to a Broader Community,,,,2011-06-22 04:17 EDT by Cyril Jaquier,2012-09-21 07:16 EDT,2 users
350016,Bad focus behavior by programmically give focus to a view breaks selection provider,RESOLVED FIXED,None,RAP,Workbench,1.4,P3 normal,1.5 M3,Project Inbox,,,,,,,2011-06-22 04:34 EDT by Arnaud MERGEY,2011-11-07 05:20 EST,0 users
350017,[Theming][Table] Table column headers are not themeable,RESOLVED INVALID,None,RAP,RWT,unspecified,P3 enhancement,---,Project Inbox,,,,,,,2011-06-22 04:46 EDT by Stefan Berkmiller,2011-07-06 17:40 EDT,1 user
350018,HtmlUtility: Missing possibility to change font-size measurement unit,CLOSED FIXED,None,Scout,Scout,unspecified,P3 normal,3.8.0 Juno,Project Inbox,,,,,,,2011-06-22 04:50 EDT by Stephan Leicht Vogt,2012-07-09 06:50 EDT,1 user
350019,[client] Refresh button,RESOLVED WONTFIX,None,Orion,Client,0.2,P3 normal,---,Project Inbox,,,,,,,2011-06-22 05:16 EDT by Szymon Brandys,2015-05-05 14:46 EDT,6 users
350020,[ui] InstalledIUElement.equals/AvailableIUElement.equals should consider the parent element,RESOLVED FIXED,None,Equinox,p2,3.7,P3 normal,Juno,Meng Xin Zhu,,,,,,,2011-06-22 05:19 EDT by Meng Xin Zhu,2013-11-10 22:32 EST,2 users
350021,[client][git] Ambiguous tab titles for Git Status and Git Log pages,RESOLVED FIXED,None,Orion,Git,0.2,P3 minor,0.5 M2,Szymon Brandys,,,,,,376978,2011-06-22 05:20 EDT by Tomasz Zarna,2012-07-10 08:34 EDT,4 users
350022,Ability to copy the state of a vairable from Variables view,RESOLVED WORKSFORME,None,Platform,Debug,3.6.2,P3 enhancement,---,Platform-Debug-Inbox,,,,,,,2011-06-22 05:26 EDT by saurav sarkar,2011-06-22 10:14 EDT,1 user
350023,"Not enough resolution for ""Update icon""",CLOSED DUPLICATE of bug 347584,None,Platform,UI,4.1,P3 trivial,---,Platform-UI-Inbox,,,,,,,2011-06-22 05:41 EDT by Nirmal Sasidharan,2011-06-22 07:59 EDT,1 user
350024,Consider removing/refactoring SharedColors,NEW,None,Riena,Look And Feel,unspecified,P3 minor,---,Project Inbox,,,,,,,2011-06-22 05:51 EDT by Stefan Liebig,2011-06-22 05:51 EDT,0 users
350025,Ensure that service handlers work work with cluster configurations,RESOLVED FIXED,None,RAP,RWT,unspecified,P3 enhancement,1.5 M1,Project Inbox,,,,,,341761,2011-06-22 05:51 EDT by Rüdiger Herrmann,2011-07-18 06:13 EDT,0 users
350026,Improvements in the task framework to consider,CLOSED WONTFIX,None,Orion,Client,0.2,P2 normal,---,Anton McConville,,,,,,,2011-06-22 06:06 EDT by Szymon Brandys,2017-01-10 15:39 EST,6 users
350027,Fix index for moves from left to right,CLOSED FIXED,None,EMF,cdo.core,4.1,P3 normal,---,Eike Stepper,Eike Stepper,,,,,,2011-06-22 06:27 EDT by Cyril Jaquier,2012-09-21 07:16 EDT,1 user
350028,Use Case diagrams - Actors - Misplaced name label,RESOLVED FIXED,None,Papyrus,Core,0.8.0,P3 trivial,---,Project Inbox,,,,,,,2011-06-22 06:36 EDT by Gabriel erbák,2012-04-19 06:32 EDT,0 users
350029,[UsecaseDiagram] Extension points aren't visually separated from the use case name,CLOSED FIXED,None,Papyrus,Core,0.8.0,P3 trivial,---,Patrick Tessier,,,,,,,2011-06-22 06:46 EDT by Gabriel erbák,2017-09-11 08:16 EDT,1 user
350030,Indigo release missing p2.index file,CLOSED DUPLICATE of bug 347448,None,Platform,Releng,3.7,P3 normal,---,Platform-Releng-Inbox,,http://download.eclipse.org/releases/...,,,,,2011-06-22 06:46 EDT by Alex Blewitt,2011-06-22 09:40 EDT,1 user
350031,Indigo release contains fully qualified EPP reference,RESOLVED DUPLICATE of bug 319853,None,Community,Cross-Project,unspecified,P3 normal,---,Cross-Project issues,,http://download.eclipse.org/releases/...,,,,,2011-06-22 06:49 EDT by Alex Blewitt,2011-06-28 23:59 EDT,4 users
350032,EPP compositeContent site outdated and missing release repository,VERIFIED INVALID,None,Platform,Releng,3.7,P3 normal,---,Platform-Releng-Inbox,,http://download.eclipse.org/technolog...,,,,,2011-06-22 06:58 EDT by Alex Blewitt,2011-06-22 10:28 EDT,1 user
350033,[FileDialog] Remove setAutoUpload(boolean) and isAutoUpload public methods,RESOLVED WONTFIX,None,RAP,Incubator,1.4,P3 normal,---,Project Inbox,,,,,,,2011-06-22 07:01 EDT by Ivan Furnadjiev,2011-10-10 06:25 EDT,3 users
350034,Indigo release P2 repository contains outdated bundles,VERIFIED INVALID,None,Platform,Releng,3.7,P3 normal,---,Kim Moir,,http://download.eclipse.org/releases/...,,,,,2011-06-22 07:04 EDT by Alex Blewitt,2011-06-22 10:29 EDT,1 user
350035,Handle SWT dialogs style flags in the same way,RESOLVED FIXED,None,RAP,Incubator,1.4,P3 normal,2.0,Project Inbox,,,,,,,2011-06-22 07:15 EDT by Ivan Furnadjiev,2016-01-26 05:51 EST,0 users
350036,[DB] Convert CLOB to String in SQLQueryHandler,CLOSED FIXED,None,EMF,cdo.db,4.1,P3 enhancement,---,Eike Stepper,Eike Stepper,,"Lighter, Faster and Better",,,,2011-06-22 07:46 EDT by Erdal Karaca,2012-09-21 07:18 EDT,0 users
350037,"[getter setter][rename] ""Rename field"" doesn't recognize getter and setter methods",RESOLVED INVALID,None,JDT,UI,3.7,P4 normal,---,JDT-UI-Inbox,,,,,,,2011-06-22 07:54 EDT by Gerrit,2011-11-15 03:24 EST,4 users
350038,[git] Converted repos and maintenance branches not quite right,RESOLVED FIXED,None,Platform,Releng,3.7,P3 normal,---,Paul Webster,,,,,,345479,2011-06-22 08:00 EDT by Paul Webster,2011-06-30 20:06 EDT,13 users
350039,[1.7] ASTParser#createASTs(..) doesn't resolve IMethodBinding for @PolymorphicSignature method reference,VERIFIED FIXED,None,JDT,Core,3.7,P3 normal,3.7.1,Olivier Thomann,,,,,,,2011-06-22 08:11 EDT by Markus Keller,2011-08-05 02:54 EDT,2 users
350040,OSGi facet does not generate correct build.properties for Persistent Bundles,CLOSED FIXED,None,Libra,OSGi Facet,0.1,P3 normal,0.1.1,Alexander Silgidjian,Kaloyan Raev,https://jtrack/browse/NGPBUG-990,,,,,2011-06-22 08:31 EDT by Kaloyan Raev,2011-07-15 06:03 EDT,1 user
350041,StyledCellLabelProvider ignores fontStyle parameter of StyleRange,NEW,None,Platform,SWT,3.7,P3 normal,---,Platform-SWT-Inbox,,,,,,,2011-06-22 08:33 EDT by Thomas Singer,2013-10-06 05:49 EDT,1 user
350042,"[Help] The standalone help ""displayHelpWindow"" does not terminate when no embedded browser is available",NEW,None,Platform,User Assistance,3.7,P3 enhancement,---,platform-ua-inbox,,,,,57331,,2011-06-22 08:36 EDT by Martin Oberhuber,2011-06-22 08:42 EDT,8 users
350043,extra separator in menu if activation history is empty,RESOLVED FIXED,None,Mylyn Tasks,Framework,unspecified,P3 minor,3.7,Steffen Pingel,,,,,,,2011-06-22 08:40 EDT by Remy Suen,2011-07-19 11:07 EDT,0 users
350044,ToolItem.setWidth(SWT.SEPARATOR_FILL) does not do what the JavaDoc promises,NEW,None,Platform,SWT,3.7,P3 normal,---,Carolyn MacLeod,,,,,,,2011-06-22 08:48 EDT by Thomas Singer,2011-06-23 10:21 EDT,2 users
350045,mylyn如何使用,RESOLVED INVALID,None,Mylyn,Bugzilla,unspecified,P3 normal,---,Mylyn Inbox,,http://www.ibm.com/developerworks/cn/...,,,,,2011-06-22 08:58 EDT by sengtang,2011-06-22 09:09 EDT,1 user
350046,SWT: Label-Tooltip problem if label-text is shortened,CLOSED WONTFIX,None,Scout,Scout,3.7.0,P3 normal,---,Project Inbox,,,,,,,2011-06-22 08:59 EDT by Christoph Thommen,2011-06-22 09:25 EDT,0 users
350047,org.eclipse.wst.jsdt.internal.core.util.Util#scanTypeSignature does not handle boolean signatures,RESOLVED INVALID,None,JSDT,General,3.2.5,P3 normal,3.2.5,Ian Tewksbury,Nitin Dahyabhai,,,,,,2011-06-22 09:03 EDT by Ian Tewksbury,2011-06-23 14:45 EDT,1 user
350048,"CDT editor not respecting ""Insert spaces for tabs"" preference",CLOSED DUPLICATE of bug 206776,None,CDT,cdt-editor,8.0,P3 normal,---,Project Inbox,Anton Leherbauer,,,,,,2011-06-22 09:04 EDT by Jonathan Watt,2011-06-22 09:45 EDT,1 user
350049,IndependentUnit and PriorityUnit with 0 subUnits can not be executed,RESOLVED WONTFIX,None,EMFT.Henshin,Interpreter,unspecified,P3 minor,---,Project Inbox,,,,,,,2011-06-22 09:33 EDT by Felix Rieger,2012-02-02 05:50 EST,0 users
350050,[Compatibility] Mylyn's 'Task List' view has a strange separator,RESOLVED WORKSFORME,None,Platform,UI,4.1,P3 normal,---,Platform UI Triaged,,,,,,321278,2011-06-22 09:38 EDT by Remy Suen,2012-01-16 15:03 EST,1 user
350051,Stylesheets are missing for New & Noteworthy documents,RESOLVED FIXED,None,Platform,Releng,3.1,P3 trivial,---,Kim Moir,,,,,,,2011-06-22 09:48 EDT by Markus Keller,2011-06-30 17:08 EDT,2 users
350052,[Help] Help should support easy markup of hyperlinks that point to the outside,NEW,None,Platform,User Assistance,3.7,P3 enhancement,---,platform-ua-inbox,,,,,,,2011-06-22 09:52 EDT by Martin Oberhuber,2011-06-22 19:36 EDT,1 user
350053,Content Proposal behave differently in RAP,RESOLVED FIXED,None,RAP,JFace,1.4,P3 normal,1.5 M5,Project Inbox,,,,,,330461,2011-06-22 09:55 EDT by Sebastien Arod,2012-01-26 05:43 EST,1 user
350054,Test failures caused by removal of carbon.macosx,RESOLVED FIXED,None,PDE,Build,3.7,P3 normal,3.8 M1,pde-build-inbox,,,,,,,2011-06-22 10:01 EDT by Andrew Niefer,2011-07-06 03:29 EDT,1 user
350055,[launch] AbstractLaunchConfigurationTab / ILaunchConfiguration does not compare Map attributes correctly,NEW,None,Platform,Debug,3.6,P3 normal,---,Platform-Debug-Inbox,,,,,,,2011-06-22 10:06 EDT by Christian Pontesegger,2011-06-28 03:33 EDT,2 users
350056,[Activity Diagram] Problem with pins synchronization on CallBehavior and CallOperation,CLOSED FIXED,None,Papyrus,Core,0.8.1,P3 major,---,Emilien Perico,,,,,,,2011-06-22 10:07 EDT by Emilien Perico,2012-02-06 04:49 EST,3 users
350057,Pasting from clipboard sometimes messing up indentation,CLOSED DUPLICATE of bug 279358,None,CDT,cdt-editor,8.0,P3 normal,---,Project Inbox,Anton Leherbauer,,,,,,2011-06-22 10:10 EDT by Jonathan Watt,2011-07-21 07:53 EDT,2 users
350058,Typo in refreshMetadata() method name,RESOLVED FIXED,None,EclipseLink,MOXy,2.3.0,P3 normal,2.4.0,Project Inbox,,,,,349710,,2011-06-22 10:15 EDT by Rick Barkhouse,2011-06-22 11:29 EDT,0 users
350059,Mylyn Bugzilla connector is unable to submit changes to bug reports,RESOLVED WORKSFORME,None,Mylyn,Bugzilla,unspecified,P3 major,---,Mylyn Inbox,,,,,,,2011-06-22 10:17 EDT by Juan Camilo Prada,2011-08-11 07:41 EDT,2 users
350060,add discovery URL for Mylyn update site,RESOLVED FIXED,None,Mylyn Tasks,Framework,unspecified,P3 normal,3.6.1,Steffen Pingel,,,,,,,2011-06-22 10:19 EDT by Steffen Pingel,2011-06-22 10:28 EDT,0 users
350061,Warnings disappear on re-build if source file not changed,NEW,None,CDT,cdt-build,8.0,P3 normal with 2 votes,---,cdt-build-inbox@eclipse.org,Andrew Gvozdev,,,,,,2011-06-22 10:24 EDT by Michael Perkins,2013-09-26 12:27 EDT,2 users
