id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
120000,Overlapping Labels in Pie Charts Birt 2.0M3,RESOLVED FIXED,None,BIRT,Chart,2.0.0,P2 normal,2.1.0 RC0,Zhiqiang Qian,,,,,,,2005-12-08 16:15 EST by Antonio Gurisatti,2006-03-06 01:51 EST,0 users
120001,Transparency in Birt Pie Charts 2.0M3,RESOLVED FIXED,None,BIRT,Chart,2.0.0,P2 normal,2.1.0 M5,Zhiqiang Qian,,,,,,120129,2005-12-08 16:24 EST by Antonio Gurisatti,2006-02-16 01:06 EST,0 users
120002,ICU4J support in TPTP,CLOSED FIXED,None,z_Archived,TPTP,unspecified,P1 enhancement,---,Eugene Chan,,http://www.eclipse.org/tptp/groups/Ar...,closed460,plan,119410,123444,2005-12-08 16:25 EST by Christophe Telep,2016-05-05 10:41 EDT,1 user
120003,Neither Add or Remove utility project to dynamic web project set server state to republish,CLOSED FIXED,None,WTP ServerTools,wst.server,1.0,P2 normal,1.0 M10,Tim deBoer,,,,,,,2005-12-08 16:39 EST by Jim DAnjou,2017-10-11 15:55 EDT,2 users
120004,Edit Chart dialog: series configuration buttons don't have labels,RESOLVED WONTFIX,None,BIRT,Chart,2.0.0,P3 normal,2.0.0 Final,David Michonneau,,,,,,,2005-12-08 16:41 EST by Jared Burns,2005-12-22 11:15 EST,0 users
120005,"Edit Chart dialog: buttons which open dialogs must contain ""..."" in the label",RESOLVED FIXED,None,BIRT,Chart,2.0.0,P3 normal,2.0.0 Final,David Michonneau,,,,,,,2005-12-08 16:44 EST by Jared Burns,2005-12-21 01:26 EST,0 users
120006,Recursive isLinked check,RESOLVED FIXED,None,Platform,Resources,3.2,P3 normal,3.2 M4,John Arthorne,,,,,,,2005-12-08 16:47 EST by John Arthorne,2005-12-12 10:22 EST,1 user
120007,"Edit Chart dialog: ""Data Preview"" on Select Data page is not a valid table",RESOLVED FIXED,None,BIRT,Chart,2.0.0,P3 normal,2.0.0 Final,Yulin Wang,,,,,,,2005-12-08 16:47 EST by Jared Burns,2005-12-22 22:13 EST,0 users
120008,Chart region sizes BIRT 2.0M3,RESOLVED FIXED,None,BIRT,Chart,2.0.0,P2 enhancement,2.1.0 M5,Yulin Wang,,,,,,,2005-12-08 16:55 EST by Antonio Gurisatti,2006-02-20 04:21 EST,0 users
120009,Edit Chart dialog: Dialog takes >5 seconds to respond to input,RESOLVED DUPLICATE of bug 119777,None,BIRT,Chart,2.0.0,P3 normal,2.0.0 Final,David Michonneau,,,,,,,2005-12-08 16:57 EST by Jared Burns,2005-12-21 01:28 EST,0 users
120010,combine IModelDelat and IModelDeltaNode,VERIFIED FIXED,None,Platform,Debug,3.2,P3 normal,3.2 M4,Kevin Barnes,,,,,,,2005-12-08 16:59 EST by Darin Wright,2005-12-09 13:27 EST,1 user
120011,[JUnit] No way to output Junit output to junit view when ran from menu choice,RESOLVED WONTFIX,None,JDT,UI,3.1.1,P3 enhancement,---,JDT-UI-Inbox,,,,,,,2005-12-08 16:59 EST by Mike Boyersmith,2009-08-30 02:36 EDT,0 users
120012,Ability to get java.lang.Class from an IType.,RESOLVED INVALID,None,JDT,Core,3.2,P3 major,---,JDT-Core-Inbox,,,,,,,2005-12-08 17:03 EST by Manish Bhargava,2005-12-10 04:44 EST,1 user
120013,Support returning a list of interactive IDs in HTML emitter,RESOLVED FIXED,None,BIRT,Report Engine,2.0.0,P3 normal,---,Wei Yan,,,,,,,2005-12-08 17:03 EST by Stanley Wang,2005-12-27 02:08 EST,0 users
