id,title,status,alias,product,component,version,importance,target_milestone,assignee,qa_contact,url,whiteboard,keywords,depends_on,blocks,reported,modified,cclist
500000,Format indentation in lambda expressions,RESOLVED FIXED,None,CDT,cdt-editor,9.0.0,P3 major with 1 vote,9.8.0,Marco Stornelli,Anton Leherbauer,,,,,,2016-08-19 12:31 EDT by Daniel B,2019-05-18 07:23 EDT,4 users
500001,eclipse.pde.ui-Gerrit job on platform HIPP fails with random errors,RESOLVED FIXED,None,Community,CI-Jenkins,unspecified,P3 blocker,---,CI Admin Inbox,,,,,,,2016-08-19 13:13 EDT by Dani Megert,2016-08-29 09:15 EDT,4 users
500002,Invocation of GDB doesn't expand variables used in specifying the application,ASSIGNED,None,CDT,cdt-debug,9.1.0,P3 normal with 1 vote,---,cdt-debug-inbox@eclipse.org,Doug Schaefer,,,,,,2016-08-19 14:11 EDT by David Cozens,2016-10-07 16:27 EDT,3 users
500003,org.eclipse.jst.standard.schemas XML Catalog plugin specified entries made with the wrong key/key type,NEW,None,WTP Source Editing,wst.xml,unspecified,P3 normal,---,wst.xml,Nick Sandonato,,,,,,2016-08-19 14:34 EDT by ¡ëric Daigneault,2016-08-19 14:34 EDT,0 users
500004,[acorn][eslint] No syntax error on unterminated comment,RESOLVED FIXED,None,Orion,JS Tools,12.0,P3 normal,13.0,Olivier Thomann,,,,,,,2016-08-19 14:47 EDT by Olivier Thomann,2016-08-22 12:03 EDT,2 users
500005,Deleting a quote can cause the whole file to go red...,RESOLVED FIXED,None,Orion,JS Tools,12.0,P3 normal,13.0,Olivier Thomann,,,,,,,2016-08-19 15:09 EDT by Eric Moffatt,2016-08-22 09:30 EDT,4 users
500006,[newindex] An ElementChangedEvent fired on the consumption of IndexingEvent breaks tests.,RESOLVED FIXED,None,JDT,Core,4.7,P3 normal,---,Stefan Xenos,,,,,,481796,2016-08-19 15:55 EDT by Alexander Rookey,2016-08-27 03:14 EDT,2 users
500007,Photran Indexer fails on large parameter lists in fixed form,NEW,None,PTP,Photran.Parser,unspecified,P3 normal,---,Photran Inbox,,,,,,,2016-08-19 17:16 EDT by Rocky Dunlap,2016-08-26 09:48 EDT,1 user
500008,Incorrect whitelist functionality,RESOLVED FIXED,None,Viatra,Query,unspecified,P3 normal,1.4.0M2,Zoltan Ujhelyi,,,,,,,2016-08-19 17:24 EDT by Zoltan Ujhelyi,2016-08-19 17:36 EDT,0 users
500009,Incorrect error message,RESOLVED FIXED,None,Viatra,Query,1.4.0,P3 normal,1.4.0M2,Zoltan Ujhelyi,,,,,,,2016-08-19 17:30 EDT by Zoltan Ujhelyi,2016-08-19 17:36 EDT,0 users
500010,Exception thrown in model inferrer in incorrect query files,RESOLVED FIXED,None,Viatra,Query,1.4.0,P3 normal,1.4.0M2,Zoltan Ujhelyi,,,,,,,2016-08-19 17:42 EDT by Zoltan Ujhelyi,2016-08-23 05:25 EDT,0 users
500011,Cleanup (delete) old callisto sites,RESOLVED FIXED,None,Community,Cross-Project,unspecified,P3 normal,---,David Williams,,,,,,,2016-08-19 17:45 EDT by David Williams,2016-08-19 18:08 EDT,0 users
500012,"""empty package"" is an invention not backed by JLS",RESOLVED WORKSFORME,None,JDT,UI,4.7,P3 minor,---,JDT-UI-Inbox,,,,,,,2016-08-19 18:14 EDT by Stephan Herrmann,2016-09-14 14:29 EDT,3 users
500013,[Wayland] Keyboard Left and Right Arrow keys are very slow or unresponsive,CLOSED FIXED,None,Platform,SWT,4.6,P3 normal with 1 vote,4.7 M6,Ian Pun,,,,,,496923,2016-08-20 00:37 EDT by Michael Arnold,2017-05-31 10:32 EDT,8 users
500014,Define dependencies in the .target file,NEW,None,WTP Releng,releng,3.10,P3 enhancement,---,webtools.releng,Carl Anderson,,,,,,2016-08-20 03:49 EDT by Mickael Istria,2018-06-29 15:14 EDT,0 users
500015,Unreachable p2 repositories in parent pom,CLOSED WORKSFORME,None,WTP Releng,releng,3.10,P3 blocker,---,webtools.releng,Carl Anderson,,,,,,2016-08-20 03:51 EDT by Mickael Istria,2018-06-29 15:14 EDT,0 users
500016,Versioning parent pom,RESOLVED FIXED,None,WTP Releng,releng,3.10,P3 enhancement,---,Nick Boldt,Carl Anderson,,,,520483,,2016-08-20 03:54 EDT by Mickael Istria,2018-06-29 15:14 EDT,3 users
500017,Neon: CDT does not install through the marketplace.,NEW,None,CDT,cdt-core,9.0.0,P3 normal,---,Project Inbox,Doug Schaefer,,,,,,2016-08-20 04:35 EDT by Dionysios Kalofonos,2016-08-20 04:35 EDT,0 users
500018,Compiler problem with if() pointcut + parameter binding with auto-boxing,NEW,None,AspectJ,Compiler,1.8.9,P3 normal,---,aspectj inbox,,,,,,,2016-08-20 04:48 EDT by Alexander Kriegisch,2016-08-20 04:48 EDT,0 users
500019,Eclipse Neon CDT syntax highlighting wrong in calls to macros which reference __FILE__ or __LINE__,CLOSED DUPLICATE of bug 490415,None,CDT,cdt-editor,Next,P3 normal,---,Project Inbox,Anton Leherbauer,,,,,,2016-08-20 05:16 EDT by Derek Foster,2016-12-22 18:57 EST,2 users
500020,CDT indexer does not notice changes to header files referenced from other projects,NEW,None,CDT,cdt-indexer,9.0.0,P3 normal,---,Project Inbox,Markus Schorn,,,,,,2016-08-20 05:55 EDT by Derek Foster,2016-08-20 20:16 EDT,2 users
500021,Context sensitive help not working with Arduino zero (feather boards),NEW,None,CDT,cdt-arduino,9.0.1,P3 normal,---,Project Inbox,Doug Schaefer,,,,,,2016-08-20 07:09 EDT by trampas,2016-08-26 14:16 EDT,1 user
500022,[1.8][generate delegate] option to deselect inherited methods,NEW,None,JDT,UI,4.7,P3 enhancement,---,JDT-UI-Inbox,,,,,,,2016-08-20 07:21 EDT by Stephan Herrmann,2016-08-20 07:21 EDT,0 users
500023,"when project explore lost focus, cannot click a file to open",RESOLVED WORKSFORME,None,CDT,cdt-editor,8.8.1,P3 major with 1 vote,---,Project Inbox,Anton Leherbauer,,,,,,2016-08-20 07:48 EDT by Xia Lunxian,2017-01-25 22:17 EST,2 users
500024,[1.8][null] fix glitches regarding ExternalAnnotationStatus,VERIFIED FIXED,None,JDT,Core,4.7,P3 normal,4.7 M5,Stephan Herrmann,,,,,490010,,2016-08-20 08:53 EDT by Stephan Herrmann,2017-01-24 08:57 EST,1 user
500025,Regression: Importing connections fails if BPMNEdge has no source or target element,RESOLVED FIXED,None,BPMN2Modeler,Core,1.3.0,P3 blocker,future,Robert Brodt,,,,,,,2016-08-20 10:57 EDT by Robert Brodt,2016-08-25 11:06 EDT,2 users
500026,HIPP for january,RESOLVED FIXED,None,Community,CI-Jenkins,unspecified,P3 normal,---,CI Admin Inbox,,,,,,,2016-08-20 11:03 EDT by Jonah Graham,2016-09-14 07:10 EDT,3 users
500027,Grant access to jonahkichwacoders github account for january sources,RESOLVED FIXED,None,Community,GitHub,unspecified,P3 normal,---,Eclipse Webmaster,,,,,,,2016-08-20 11:09 EDT by Jonah Graham,2016-08-22 06:30 EDT,1 user
