27,Add right margin guideline to commit message editor
2012-12-06T03:17:25Z,discuss,This pull adds a configurable right margin to the commit message editor. See IDEA-96737 for more context.
2012-12-06T03:17:25Z,discuss,Definitely let me know if you have any questions/suggestions; I'd be glad to make any changes you folks would like to see to get this in.
2012-12-06T03:17:25Z,discuss,(My signed contributor agreement should be in the contribute@jetbrains.com inbox)
2012-12-06T14:26:18Z,discuss,"Thank you for the pull request.
I've took a look at the changes and let me share some comments:"
2012-12-06T21:02:36Z,discuss,"Hey @klikh, thanks for the notes.  Here's my thoughts:"
2012-12-06T21:02:36Z,discuss,"Also noticed something while re-testing this: the new configuration string (""Commit message right margin (columns)"") is not showing up for searches in the Settings dialog.  What am I missing there?  In my experience, new things are always picked up by search automatically, but I've never looked into how that happens. (Solved!  See comment below)"
2012-12-12T18:18:06Z,discuss,Update: config search works great!
2012-12-12T18:18:06Z,discuss,I worked out that com.intellij.ide.ui.search.TraverseUIStarter generates an updated /search/searchableOptions.xml (knowing that there was search-related build/release process was the piece I was missing before).  I did this locally and confirmed that search on the new config works brilliantly.
2012-12-12T18:18:06Z,discuss,Looking forward to your response to my notes above and getting this merged.  Thanks!
2013-01-27T20:18:55Z,discuss,"Hey @klikh, just wanted to check if there were any updates on this."
2013-01-27T20:18:55Z,discuss,"I'm worried my quick questions got buried in the context I was trying to provide above, making this seem more complex than it is.  I apologize if that was the case."
2013-01-27T20:18:55Z,discuss,"To try and help things along, here's a summary of the outstanding questions:"
2013-01-27T20:18:55Z,discuss,"Once we've settled those, it feels like we'll be really close to done here..."
2013-01-30T14:20:35Z,discuss,"Hello @dmarcotte,"
2013-01-30T14:20:35Z,discuss,I'm sorry for long delay with the answer. Indeed this pull request was forgotten by me buried by other tasks.
2013-01-30T14:20:35Z,discuss,"Design
I have indeed overlooked that Feature was just an on/off property. In that case your design decision makes sense. But it would be much better not to introduce another method to the EditorTextFieldProvider, but improve the Feature itself: make it not a enum, but an interface with several trivial instances (SOFT_WRAP, SPELL_CHECK, etc. - current ones which provide just on/off ability, they would be instances of a simple Feature implementation which could be called SimpleFeature or OnOffFeature or something like that). CommitMessage would introduce a separate implementation of the Feature for our task - commit message line margin, that would customize the editor as needed.
I have consulted with our expert on Editor subsystem, and he also thinks that improving Feature is better than adding another getEditorField version to the EditorTextFieldProvider."
