1126,make getExecutable() generate a platform-specific filename
2019-04-20T09:34:37Z,discuss,"Hi there,"
2019-04-20T09:34:37Z,discuss,"I'm trying to get the PyCharm IDE running faster on a Jetson Nano (linux-aarch64). Compiling the fsnotifier source with the local GCC is straight-forward enough (integrating the change into the build process is not yet), however NativeFileWatcherImpl.getExecutable() will error out with unsupported platform if it's not one of the specifically encoded platforms. To make this a little more hackable, I have changed the code to give a platform-specific executable name to look for instead. This way, providing fsnotifier-aarch64 on the Jetson Nano should do the trick without further need to change the PyCharm package.
There is room for improvement for sure, like ensuring that you get to know the filename that is wanted, however this is a start."
2019-05-09T01:41:00Z,commit,"do not alter separators, keep borders as is",github.com/JetBrains/intellij-community/pull/1126/commits/eb06ca3d06bb5ed2949a95faa8577aee23e97478
2019-05-09T01:54:22Z,commit,add missing ComboBox-popup-like borders,github.com/JetBrains/intellij-community/pull/1126/commits/835c60d3a5ca7f6310d9306d325040ebcab3ea53
2019-05-09T06:43:04Z,commit,git: don't start background process inside background process,github.com/JetBrains/intellij-community/pull/1126/commits/3061e8e4eb66b85ad6b21d58308f8369e5067bd9
2019-05-09T06:45:33Z,commit,"git: hide the ""Branch Deleted"" notification balloon when ""Delete Trac¡­",github.com/JetBrains/intellij-community/pull/1126/commits/45c711f80ba3886d2559a93b9fc22308e3d61a83
2019-05-09T07:40:06Z,commit,extract ClassUtil,github.com/JetBrains/intellij-community/pull/1126/commits/57d5f321f21bac6827f33285b18759fbdd3a3c71
2019-05-09T09:35:15Z,commit,Correct implementation for context-dependent Move action name (IDEA-C¡­,github.com/JetBrains/intellij-community/pull/1126/commits/c98d0e552625999268eefbf9dec7c6429876ab9b
2019-05-09T09:47:10Z,commit,IDEA-212317 Whitelist rules validation does not work with inline enums,github.com/JetBrains/intellij-community/pull/1126/commits/1336307b58be8e224287f75f600ca974967fa88c
2019-05-09T10:18:10Z,commit,FUS data validator: update cached white list only if it's new WL version,github.com/JetBrains/intellij-community/pull/1126/commits/9137a2c64877e8d06118746ee23d16e717b2e979
2019-05-08T18:55:43Z,commit,IDEA-CR-47038: Synchronization of changed icons from git@github.com:J¡­,github.com/JetBrains/intellij-community/pull/1126/commits/9348c3334ba288ac3bd566fb7caf9fa87de08f2f
2019-05-09T07:55:31Z,commit,json: cleanup unused utility methods,github.com/JetBrains/intellij-community/pull/1126/commits/cee231a37cd5cc4e922fd7a8efe81d8a80aa3d74
2019-05-09T09:00:04Z,commit,LookupValueWithPsiElement: Javadoc,github.com/JetBrains/intellij-community/pull/1126/commits/1a89a88d26e8fbbeb47f0cabbfd6055daa5bb1ef
2019-05-09T10:14:51Z,commit,CompletionContributor: Javadoc,github.com/JetBrains/intellij-community/pull/1126/commits/49b8fd321ed06e5d56707d9d6e60114918ac79cd
2019-05-09T11:06:21Z,commit,"Icon for ""Show intention actions"" action",github.com/JetBrains/intellij-community/pull/1126/commits/b51c089165e99094ce5c1927fb2dc5a555eebd78
2019-05-09T11:42:41Z,commit,Configure visibility of inferred annotations through Settings | Edito¡­,github.com/JetBrains/intellij-community/pull/1126/commits/fe435382bb5ecce9aa081f236eeba2b1fa13ba50
2019-05-09T10:41:25Z,commit,cleanup - don't pass -1 (because it is default value),github.com/JetBrains/intellij-community/pull/1126/commits/1cff23700324458278128b423381f188d9e6c755
2019-05-09T13:26:18Z,commit,add onDone handler to changeLafIfNecessary() for notifications,github.com/JetBrains/intellij-community/pull/1126/commits/9b02ed39f7e325650b8d16932554d287dd00c494
2019-05-09T13:29:48Z,commit,IDEA-212390 Ability to drag-n-Drop editor color scheme,github.com/JetBrains/intellij-community/pull/1126/commits/e79a0404759e07741f41c2f064cb46d0e33cd063
2019-05-09T12:53:34Z,commit,FUS: persist whitelist for different recorders separately,github.com/JetBrains/intellij-community/pull/1126/commits/213ebb41197d893c0d81f86265eb2a36c3794ba7
2019-05-09T13:24:59Z,commit,FUS: construct whitelist url by recorder id,github.com/JetBrains/intellij-community/pull/1126/commits/08f039edfc889863de194f546c6e959d6ce14be8
2019-05-09T14:01:53Z,commit,[devkit] ExtensionDomExtender.SimpleTagValue: use GenericDomValue,github.com/JetBrains/intellij-community/pull/1126/commits/4cf9a670d0a5dea46aadafde6aa74125fb9396ec
2019-05-09T14:30:06Z,commit,"jetbrains.dic +backport, +deduplication, +unmarshal",github.com/JetBrains/intellij-community/pull/1126/commits/69e11c6ac1501434e8f9f0fff56fb4f1963e89e1
2019-05-09T12:01:15Z,commit,Correctly check availability of Introduce Parameter Object in context¡­,github.com/JetBrains/intellij-community/pull/1126/commits/c058c6ea2158ef1883a7fa311bf1fa80405c30a8
2019-05-09T12:34:02Z,commit,Show descriptive name for Inline action,github.com/JetBrains/intellij-community/pull/1126/commits/de5a8749971de5e048398e78ed3549bdfc865bf9
2019-05-09T12:42:30Z,commit,"Name for ""Copy File"" action (IDEA-CR-46897)",github.com/JetBrains/intellij-community/pull/1126/commits/d88d491c56612fc66de95b59600b7f0cc8428473
2019-05-09T12:59:36Z,commit,API to disable inline controlled by GenericInlineHandler,github.com/JetBrains/intellij-community/pull/1126/commits/ba8336b8d09b9aad516f5f22b0c1cc6242d13118
2019-05-09T14:54:45Z,commit,"Goto Implementation works anywhere in the line if it has a ""navigate ¡­",github.com/JetBrains/intellij-community/pull/1126/commits/d8a132e5596a857d2987b50bf7fa65cc6a6e03ff
2019-05-09T14:56:43Z,commit,Remove empty <sections> blocks from documentation to avoid showing an¡­,github.com/JetBrains/intellij-community/pull/1126/commits/6e2c2469bc039536246113757b967e21efb9f04c
2019-05-09T15:17:45Z,commit,IDEA-211634 IDEA UI Guidelines: verify capitalization for EP properti¡­,github.com/JetBrains/intellij-community/pull/1126/commits/1012172585fc3d0d96ff0ffe867d4b60e27e96db
2019-05-09T15:22:39Z,commit,CleanupSnapshots rule,github.com/JetBrains/intellij-community/pull/1126/commits/a0051872b6424ee117c615de5d451a11e94594f9
2019-05-09T16:05:45Z,commit,Use isAvailableForQuickList() for updating refactoring actions in the¡­,github.com/JetBrains/intellij-community/pull/1126/commits/6f9c6aeb967c32dc9e0dfe7529806cf897f4cd38
2019-05-09T16:11:08Z,commit,"Show ""Generify"" action in context menu only for a class",github.com/JetBrains/intellij-community/pull/1126/commits/e4ce219959a269a129a78c5ec77941ef3f1e0d91
2019-05-09T18:25:05Z,commit,maven: use artifact classifier by default,github.com/JetBrains/intellij-community/pull/1126/commits/22a6b520e78dccd02f99b40ff33bc47ccc2a676b
2019-05-09T18:26:55Z,commit,javafx: download dependency for tests for java 11+ compatibility,github.com/JetBrains/intellij-community/pull/1126/commits/2d62efabcfaa634ce7e6dfce2eaea8db0ad0402f
2019-05-09T19:20:03Z,commit,method call type: remove unreachable condition,github.com/JetBrains/intellij-community/pull/1126/commits/ac45bd5230b862d464b9eeeb0582a15b99cde123
2019-05-09T18:00:55Z,commit,DBE-8285 bring back File Templates in DataGrip,github.com/JetBrains/intellij-community/pull/1126/commits/cf9e78f69ab9b316e5f7ee33c6f029b8758a3163
2019-05-09T18:28:26Z,commit,replace fileTemplateDefaultExtension with IdeLanguageCustomization,github.com/JetBrains/intellij-community/pull/1126/commits/dfa40ae8e55b0828e4a477aa69e756153a56a000
2019-05-09T19:35:56Z,commit,reuse IdeLanguageCustomization,github.com/JetBrains/intellij-community/pull/1126/commits/c383e10725ef21e17b6e0d436c0593d084f91ab1
2019-05-09T19:36:48Z,commit,cleanup,github.com/JetBrains/intellij-community/pull/1126/commits/a9f61aa0eefb288249f900b2bde54df6300d2ad6
2019-05-09T20:42:30Z,commit,"dumb-aware actions, disable read-only Code if empty",github.com/JetBrains/intellij-community/pull/1126/commits/9acb7eb1d97deae4ccf7bb08dc61cd5c8d882eaa
2019-05-08T12:48:38Z,commit,IDEABKL-5365: Change default caret stop options,github.com/JetBrains/intellij-community/pull/1126/commits/09fef33e1cc1968d134740db8d87bda77e8ef9c3
2019-05-10T00:14:53Z,commit,IDEABKL-5365: CaretStopOptions: Rename and deprecate DEFAULT_IDEA_BEF¡­,github.com/JetBrains/intellij-community/pull/1126/commits/42e61a66d7daf444f6d5182aff9a6b8427d49a4b
2019-05-10T00:16:29Z,commit,IDEABKL-5365: (test) Change tests to use CaretStopOptions.DEFAULT,github.com/JetBrains/intellij-community/pull/1126/commits/232a86f0ca207c821dd27ca8ba2ddd75264b0241
2019-05-10T00:19:04Z,commit,IDEABKL-5365: (test) Remove setting to CaretStopOptions.DEFAULT,github.com/JetBrains/intellij-community/pull/1126/commits/6356f21461f8e3c1ec4728f9aa6e6ee381b96b92
2019-05-10T00:20:43Z,commit,IDEABKL-5365: CaretStopOptions: Remove unused DEFAULT_IDEA_BEFORE_192,github.com/JetBrains/intellij-community/pull/1126/commits/811bfc6825d60f14e9132af903be4f91fd336488
2019-05-10T02:15:29Z,commit,"IDEABKL-5365: EditorOptionsPanel: Show ""IDE default"" caret option hint",github.com/JetBrains/intellij-community/pull/1126/commits/27724e65a8d5cc9b2ff6113aff61725a59f70f5b
2019-05-09T16:06:43Z,commit,[devkit] Plugin description: link to SDK docs,github.com/JetBrains/intellij-community/pull/1126/commits/56dd753f93f038c273a0519be841443439a7ed67
2019-05-10T04:17:33Z,commit,Gradle: quick fixes for compatibility issue with Gradle when IntelliJ¡­,github.com/JetBrains/intellij-community/pull/1126/commits/40ee5caede5bad98aec82a9dcc1245b44d7e34d9
2019-05-10T05:00:04Z,commit,Gradle: allow to contribute to the known issues check list,github.com/JetBrains/intellij-community/pull/1126/commits/d04ce749cfca29fceb15112c43241a2e7dced3dc
2019-05-10T05:25:47Z,commit,Gradle: cleanup issue data type,github.com/JetBrains/intellij-community/pull/1126/commits/cd2232c34d88eae726481cd99483e7f537026ba7
2019-05-10T06:11:29Z,commit,Gradle: quick fix link IDEA-212028,github.com/JetBrains/intellij-community/pull/1126/commits/ab064ddd3ea773620ad423d94b57bc15fd2952fc
2019-05-10T06:24:56Z,commit,Gradle: suggest re-import quickfix when the build environment is not ¡­,github.com/JetBrains/intellij-community/pull/1126/commits/03e108b2eca56c49764af0c4bd6c9fcedeab354f
2019-05-10T06:29:22Z,commit,Gradle: suggest wrapper version upgrade even if the wrapper is not ye¡­,github.com/JetBrains/intellij-community/pull/1126/commits/0602007a10f946ce3d94fd134ae57a191c2ab835
2019-05-10T09:14:45Z,commit,[platform] improves invalid system directories diagnostics,github.com/JetBrains/intellij-community/pull/1126/commits/f1ebf542a9fc604268d4d73073225c124f91397a
2019-05-10T09:18:59Z,commit,[platform] skips log and temp directory checks if possible,github.com/JetBrains/intellij-community/pull/1126/commits/2ef777e0c446e3b8d194de1b7b1060d8a6f8f2e9
2019-05-10T09:19:48Z,commit,Cleanup (formatting),github.com/JetBrains/intellij-community/pull/1126/commits/a6095ef0b78198530f0084c1d9e12ab4184420f3
2019-05-09T08:51:27Z,commit,[Cucumber for Java] Do not call String.format twice on command messag¡­,github.com/JetBrains/intellij-community/pull/1126/commits/320c002c7446302231773c3da40f24f41c9c38f4
2019-05-10T07:26:44Z,commit,"efficient implementation of Path.readChars, more user-friendly error ¡­",github.com/JetBrains/intellij-community/pull/1126/commits/ccd67762cb714b7509b4bc1271ba82b3aec572de
2019-05-10T07:45:38Z,commit,object graph serializer using Amazon Ion,github.com/JetBrains/intellij-community/pull/1126/commits/4740516ea5838ae33382d956e6618268945a8cfb
2019-05-10T10:41:14Z,commit,IDEA-212390 Ask before installing color scheme,github.com/JetBrains/intellij-community/pull/1126/commits/17b70ab5acf41124ec9fb965bbb20eae87298f3e
2019-05-10T10:52:29Z,commit,IDEA 2019.2 EAP art work,github.com/JetBrains/intellij-community/pull/1126/commits/bc2fe124431bd9d73d694517777790c8a119e773
2019-05-10T11:23:28Z,commit,[platform] allows to override 'com.jetbrains.suppressWindowRaise' pro¡­,github.com/JetBrains/intellij-community/pull/1126/commits/982fb91bae587d2f08f3498bb12acd3eb20ffc53
2019-05-10T11:49:17Z,commit,Cleanup (duplicates; dead code),github.com/JetBrains/intellij-community/pull/1126/commits/b0fb73cd42be6afee4d4ba32ffdb32b3b667dbc3
2019-05-10T08:47:41Z,commit,"[dom] add DomPatterns.tagWithDom(String[], ElementPattern<? extends D¡­",github.com/JetBrains/intellij-community/pull/1126/commits/e8bc766d5ae435e0a256b35b027c5958719b50e5
2019-05-10T08:48:08Z,commit,[devkit] I18nReferenceContributor: DomPatterns,github.com/JetBrains/intellij-community/pull/1126/commits/c112bfb693fb098520a2d0d32202f068b1822571
2019-05-10T08:55:39Z,commit,[devkit] introduce IdeaPlugin.TAG_NAME,github.com/JetBrains/intellij-community/pull/1126/commits/0b2b6a06471eb1ff5fed2ab09876e9f0e905c3cb
2019-05-10T09:13:00Z,commit,"[devkit] RegistryPropertiesAnnotator: highlight ""github"" keys",github.com/JetBrains/intellij-community/pull/1126/commits/96389ce2df34d2b00275d005e5c2035f34add815
2019-05-10T10:57:23Z,commit,RUBY-23265 always download the latest available plantuml.jar,github.com/JetBrains/intellij-community/pull/1126/commits/31a8083c3030c6484c0ff0e335fa715c02adb90d
2019-05-10T10:56:07Z,commit,extract util methods that implemented in Kotlin from `projectModel-ap¡­,github.com/JetBrains/intellij-community/pull/1126/commits/fe966298a9a4d59335f4580f3b37b57d1002d2e1
2019-05-10T12:59:39Z,commit,make public due to kotlin bug,github.com/JetBrains/intellij-community/pull/1126/commits/11f61e2c809afd8e6269b389af508c5ee9d7f8e7
2019-05-06T16:36:30Z,commit,notnull in tests,github.com/JetBrains/intellij-community/pull/1126/commits/8b5b8ae1c79c3474c8c16e857d85c9da6b0d15ea
2019-05-06T22:26:02Z,commit,"Encapsulate LightPlatformTestCase.ourProject, ourModule and relatives¡­",github.com/JetBrains/intellij-community/pull/1126/commits/fc15b4493b14eb7141316d62e874959e4ec80453
2019-05-10T14:24:40Z,commit,tune test timeout,github.com/JetBrains/intellij-community/pull/1126/commits/2f2aae907fa77d0c18c4709c431f319f0ef62abd
2019-05-10T13:33:30Z,commit,object graph serializer using Amazon Ion ¡ª same bean binding regardle¡­,github.com/JetBrains/intellij-community/pull/1126/commits/84d5d6656c62af4d1896ae98912f735a22650b02
2019-05-10T14:00:55Z,commit,OC-18641 better encapsulate for progress dialog fields,github.com/JetBrains/intellij-community/pull/1126/commits/f7f9186e83740ae075af43b6b7ce3c506cc541d1
2019-05-10T14:04:20Z,commit,OC-18641 add missing nullability annotations for progress dialog and ¡­,github.com/JetBrains/intellij-community/pull/1126/commits/3a141b058481b7872140da2c4d69d1a63f5959f1
2019-05-10T15:17:55Z,commit,"OC-18641 Allow progress indicator to be set to NON_MODAL, even if not¡­",github.com/JetBrains/intellij-community/pull/1126/commits/98f3e0630f3b51f6c7cf663d46eb21bae52a559a
2019-05-10T14:51:08Z,commit,object graph serializer using Amazon Ion ¡ª use Objenesis to create ob¡­,github.com/JetBrains/intellij-community/pull/1126/commits/496427087283f95eedfd09cb61f48e9f8acc0bfb
2019-05-10T15:45:54Z,commit,OC-18641 Remove unnecessary methods,github.com/JetBrains/intellij-community/pull/1126/commits/6c4cf089ac9110f3011f76f89d3ce1890dda2ccb
2019-05-09T19:50:41Z,commit,inference: get rid of current method thread local (II),github.com/JetBrains/intellij-community/pull/1126/commits/18a1c54877622875ecce17a0764e0dd7e0eaa4da
2019-05-10T11:09:58Z,commit,inference: get rid of current method thread local (III),github.com/JetBrains/intellij-community/pull/1126/commits/618a4845aa33e945294bb3b077445284195bc8d0
2019-05-10T11:51:23Z,commit,inference: get rid of current method thread local (IV),github.com/JetBrains/intellij-community/pull/1126/commits/d5de4f0b2539ee15f0c5d1deb560642d51225ada
2019-05-10T16:00:52Z,commit,inference: get rid of current method thread local (V),github.com/JetBrains/intellij-community/pull/1126/commits/b18660d010dc5c5be40fd3feeb2aa306084ad4c8
2019-05-10T16:10:07Z,commit,inference: get rid of current method thread local,github.com/JetBrains/intellij-community/pull/1126/commits/b53db52e7e3be08029bf4dee83caa1cfca28a129
2019-05-10T14:22:11Z,commit,QueryExecutor: Javadoc,github.com/JetBrains/intellij-community/pull/1126/commits/0504fc3498eb2a87f28eb12ea8cf80908a36c733
2019-05-10T15:22:05Z,commit,[devkit] remove obsolete org.jetbrains.idea.devkit.dom.Shortcut,github.com/JetBrains/intellij-community/pull/1126/commits/ed839c3f0c2a451904cec1a1bb19df3aa2cd28d8
2019-05-10T15:23:39Z,commit,[devkit] DOM: remove obsolete KeyboardShortcut#getUseShortcutOf,github.com/JetBrains/intellij-community/pull/1126/commits/a021870da6c006fc95161802f71e3afd36de2009
2019-05-10T16:20:47Z,commit,"IDEA-212463 Devkit: resolve ""keymap"" in plugin.xml",github.com/JetBrains/intellij-community/pull/1126/commits/a8833f0858c4f910b500f41afdef0b9e7b871a13
2019-05-10T16:27:08Z,commit,[devkit] DOM: <keyboard-shortcut@keymap> is required,github.com/JetBrains/intellij-community/pull/1126/commits/8c4ba57b518ac1ab62a7fd0618b10fc4bb2140ef
2019-05-10T18:16:06Z,commit,inference: reuse overload guard for lambda parameter type calculation,github.com/JetBrains/intellij-community/pull/1126/commits/d934da28b29b4c295db21e6b9322eaca27d5928f
2019-05-10T18:30:06Z,commit,FUS: add not null annotation to validation method,github.com/JetBrains/intellij-community/pull/1126/commits/1c73c7c3af88edd1c2d4c63346e7cb2335208b84
2019-05-10T19:09:24Z,commit,[platform] improves plugin manager's disabled plugins API,github.com/JetBrains/intellij-community/pull/1126/commits/e5aeb889cea089bc16fc829d0966ca8ca30f5b97
2019-05-10T19:36:50Z,commit,Cleanup (warnings; formatting),github.com/JetBrains/intellij-community/pull/1126/commits/16981ed23d6f1f53a45b6ac317e07600575dc501
2019-05-09T12:52:43Z,commit,EA-141095 - NPE: FileElementInfo.elementHashCode,github.com/JetBrains/intellij-community/pull/1126/commits/9ff5ff024cdf322235a1ea6eaea800fab7ca773a
2019-05-10T10:37:57Z,commit,"CodeCompletionHandlerBase: remove dead code, greenify",github.com/JetBrains/intellij-community/pull/1126/commits/93ffbd7e9215259aceaebd39bb89a9380d01d73a
2019-05-10T18:53:38Z,commit,fix nullability,github.com/JetBrains/intellij-community/pull/1126/commits/3393b98461f489371384079a18dae719ebf5b870
2019-05-10T18:15:53Z,commit,[service-view] extract services to separate tab,github.com/JetBrains/intellij-community/pull/1126/commits/cea104758e79adda42fbf261cb85c8a2044bc903
2019-05-10T19:18:05Z,commit,[service-view] disable tool window for the first eap,github.com/JetBrains/intellij-community/pull/1126/commits/8f7571750d9ee2ed505086b7fa7f9dfb4c06dcbf
2019-05-10T20:02:03Z,commit,Cleanup (moves CircularModuleDependenciesDetector to more appropriate¡­,github.com/JetBrains/intellij-community/pull/1126/commits/fd640416a02b0dc6d5cd442339ea0201ad742930
2019-05-10T20:04:14Z,commit,Cleanup (dead code; pointless package doc),github.com/JetBrains/intellij-community/pull/1126/commits/23634f1e57c195db02056230ac2379cadbcf20e5
2019-05-10T20:07:27Z,commit,Cleanup (deps order),github.com/JetBrains/intellij-community/pull/1126/commits/5ad14469dece222422d6be680570ed0f6b5196a2
2019-05-10T20:14:57Z,commit,Cleanup (dead code),github.com/JetBrains/intellij-community/pull/1126/commits/e257cf0dd84f675a868271f5937c71321c90fd88
2019-05-10T20:24:40Z,commit,[ui] drops incorrect AWT exception fix,github.com/JetBrains/intellij-community/pull/1126/commits/af674d9d57ce74bf36488040fcf606bdf5ac6b0e
2019-05-10T20:32:43Z,commit,Cleanup (unwarranted lambdas),github.com/JetBrains/intellij-community/pull/1126/commits/5acf90956edc15ee030e8a1ba79a823ec2d69d13
2019-05-10T20:22:08Z,commit,inference testdata: error message should not depend on evaluation order,github.com/JetBrains/intellij-community/pull/1126/commits/e7f9f733dd5113a36d374f158241f11d15dfeced
2019-05-10T20:28:49Z,commit,get rid of transition from non-physical to physical argument list for¡­,github.com/JetBrains/intellij-community/pull/1126/commits/4b4cee2a4bc6acef0b4b12bf2281c73e253d0a7e
2019-05-10T16:49:40Z,commit,make tests work under jdk 13,github.com/JetBrains/intellij-community/pull/1126/commits/6f727cd80fae9b8b4dd26a3bf73e29d3dfa56733
2019-05-10T23:18:13Z,commit,followup to IDEA-CR-46939,github.com/JetBrains/intellij-community/pull/1126/commits/b8928c6c05aa5e30adba726feeb8b5a3db695f3f
2019-05-11T00:23:24Z,commit,Update Kotlin Coroutines to 1.2.1,github.com/JetBrains/intellij-community/pull/1126/commits/fa6e09c83d86ddb13098b1700ccb3d671e09e8ac
2019-05-11T03:57:05Z,commit,AppUIExecutor: (test) Relax exception cause checks,github.com/JetBrains/intellij-community/pull/1126/commits/53b46b677a4fbe44cbb7cccdf0ebb0a9cd121bf7
2019-05-10T20:46:21Z,commit,[service-view] fix exception on single service tab presentation update,github.com/JetBrains/intellij-community/pull/1126/commits/8f28cc4bc0543faefe8aa9b58e92e60a08709e00
2019-05-10T20:47:55Z,commit,[service-view] fix run config extract to single service tab,github.com/JetBrains/intellij-community/pull/1126/commits/d9f1e8558d3a5b8816cbe8177e9ad8432e4d2c94
2019-05-11T07:59:01Z,commit,"Gradle: do-not report message kind for parent nodes for filtered ""dup¡­",github.com/JetBrains/intellij-community/pull/1126/commits/3d1c47caa21c4d72af0b3652d38b438ddcb7668c
2019-05-10T16:10:31Z,commit,"object graph serializer ¡ª WriteConfiguration, beanConstructed",github.com/JetBrains/intellij-community/pull/1126/commits/c75fc3029f2301cefc6fc9792ac0db25861d92c1
2019-05-11T06:17:19Z,commit,idea.serializer.resolve.ctor.on.init to easily spot classes without d¡­,github.com/JetBrains/intellij-community/pull/1126/commits/90e1f6f58aef1d0bfa9fa1550c749bab20e86353
2019-05-11T16:02:39Z,commit,"object graph serializer ¡ª intern short string (<64), enum support",github.com/JetBrains/intellij-community/pull/1126/commits/ce1df7ddd20d7a42da659bcb58b1dd65018c6991
2019-05-12T04:05:57Z,commit,Gradle: do not run the same check twice,github.com/JetBrains/intellij-community/pull/1126/commits/92f35739e356a185e19e4118ae1ca48082eb32c7
2019-05-12T04:45:27Z,commit,Build tw: fix file links for 0-based FilePosition,github.com/JetBrains/intellij-community/pull/1126/commits/849bc551658063411c0d60ef5cdff4aaf071f1b1
2019-05-12T05:18:08Z,commit,"Revert ""Build tw: fix file links for 0-based FilePosition""",github.com/JetBrains/intellij-community/pull/1126/commits/7d430b0868d9bae2a7f4b06879c4a1351ec7517e
2019-05-12T05:24:39Z,commit,FilePosition lines and columns are 0-based,github.com/JetBrains/intellij-community/pull/1126/commits/5eb7302045eff7a5f6e951c9d3e1b8025ecc4db3
2019-04-18T20:20:16Z,commit,fix: enable compilation of fsNotifier on aarch64 with gcc (Jetson Nan¡­,github.com/JetBrains/intellij-community/pull/1126/commits/2a219224d2761690cfba979dd44e76d80470e59d
2019-04-19T12:49:35Z,commit,"set name to ""fsnotifier-""+Platform.RESOURCE_PREFIX",github.com/JetBrains/intellij-community/pull/1126/commits/0b10807bcdffabe9f61913fcac0e0dd3b4513fc2
2019-04-24T18:11:52Z,commit,added log code for getExecutable(),github.com/JetBrains/intellij-community/pull/1126/commits/24a92be2dcb83a5c6c886e874678b29b3bfdc49a
2019-04-27T08:28:12Z,commit,create an executable named fsnotifier-linux-aarch64 as should be,github.com/JetBrains/intellij-community/pull/1126/commits/cd2b3a33f6812a4a45936c5ab2cf19334cab42ca
2019-04-27T19:43:03Z,commit,make the log code for getExecutable() print something useful,github.com/JetBrains/intellij-community/pull/1126/commits/ace983b79c690278687c7a27dbc7a72f87917834
2019-05-18T20:28:54Z,commit,Fixed filename inconsistency,github.com/JetBrains/intellij-community/pull/1126/commits/0dde2b00f09c1efb9ebf3aea08fe62b7bca76529
2019-05-18T20:46:40Z,commit,Merge branch 'jg/aarch64_fsNotifier' of,github.com/JetBrains/intellij-community/pull/1126/commits/53a21d696010c0716c8c38298b35a34f33394c5c
2019-05-18T19:44:16Z,commit,add fsnotifier-linux-aarch64 binary for the package build,github.com/JetBrains/intellij-community/pull/1126/commits/efb353e5954011bdedc3e55438b4b15acabc06f0
